rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/ent_coef_loss,train/actor_loss,time/time_elapsed,train/critic_loss,train/ent_coef,train/learning_rate,time/episodes
50.0,99,-41.982624,200,114,-0.0980556458234787,-1.8625986576080322,1,0.1861659735441208,0.9708386063575745,0.0003,4
50.0,299,-43.954587875,400,78,-0.3031640350818634,-2.049562692642212,5,0.2005748152732849,0.9141340851783752,0.0003,8
50.0,499,-43.87769791666667,600,71,-0.5089349746704102,-2.2084338665008545,8,0.1252056211233139,0.860792875289917,0.0003,12
50.0,699,-42.9400168125,800,68,-0.6887829303741455,-2.2353053092956543,11,0.10703359544277191,0.8106132745742798,0.0003,16
50.0,899,-42.59756645,1000,66,-0.8853787183761597,-2.2095820903778076,14,0.08792533725500107,0.7635197043418884,0.0003,20
50.0,1099,-41.469766541666665,1200,65,-1.0940743684768677,-2.444751501083374,18,0.07031095772981644,0.7195102572441101,0.0003,24
50.0,1299,-40.568788892857135,1400,64,-1.226393699645996,-2.379084348678589,21,0.040628354996442795,0.6783903241157532,0.0003,28
50.0,1499,-39.73103553125,1600,64,-1.4099328517913818,-2.4021360874176025,24,0.06036703288555145,0.6397636532783508,0.0003,32
50.0,1699,-38.989539027777774,1800,63,-1.6389654874801636,-2.3422842025756836,28,0.10430561006069183,0.6033745408058167,0.0003,36
50.0,1899,-38.1095485,2000,63,-1.747133731842041,-2.106360912322998,31,0.030088108032941818,0.5691049098968506,0.0003,40
50.0,2099,-37.82319220454546,2200,62,-1.8815597295761108,-2.0813136100769043,35,0.03830726444721222,0.5368729829788208,0.0003,44
50.0,2299,-37.18107841666667,2400,62,-2.195704698562622,-1.8943324089050293,38,0.08880746364593506,0.5064902901649475,0.0003,48
50.0,2499,-36.824210442307695,2600,61,-2.2622323036193848,-1.8812943696975708,42,0.04549345746636391,0.47792521119117737,0.0003,52
50.0,2699,-36.237955410714285,2800,61,-2.536109685897827,-1.5522568225860596,45,0.04482130706310272,0.45107829570770264,0.0003,56
50.0,2899,-35.80020765,3000,61,-2.4630422592163086,-1.3182848691940308,48,0.022988345474004745,0.42586448788642883,0.0003,60
50.0,3099,-34.981877812499995,3200,61,-2.6399686336517334,-1.1965547800064087,52,0.03246430307626724,0.40220558643341064,0.0003,64
50.0,3299,-34.48573019117647,3400,61,-2.844208240509033,-0.9827868938446045,55,0.035134244710206985,0.3799128830432892,0.0003,68
50.0,3499,-34.05232938888889,3600,60,-2.8854470252990723,-0.6718924045562744,59,0.018830126151442528,0.35899361968040466,0.0003,72
50.0,3699,-33.50042182894737,3800,60,-3.052950859069824,-0.5449232459068298,62,0.03528665006160736,0.339205801486969,0.0003,76
50.0,3899,-32.9289232125,4000,60,-3.1251094341278076,-0.13590042293071747,65,0.02873120829463005,0.3206520080566406,0.0003,80
50.0,4099,-32.46212617857143,4200,60,-3.2750909328460693,-0.009134858846664429,69,0.014259757474064827,0.30321386456489563,0.0003,84
50.0,4299,-31.864964943181818,4400,60,-3.5955851078033447,0.2198115438222885,72,0.03168904036283493,0.2867610454559326,0.0003,88
50.0,4499,-31.335002010869566,4600,60,-3.4197442531585693,0.492800772190094,75,0.030915062874555588,0.27128610014915466,0.0003,92
50.0,4699,-30.832914666666667,4800,60,-3.253297805786133,0.7252751588821411,79,0.01675550825893879,0.25669586658477783,0.0003,96
50.0,4899,-30.373716240000004,5000,60,-3.520108699798584,1.1048671007156372,82,0.02247580513358116,0.24295638501644135,0.0003,100
50.0,5099,-29.408521750000006,5200,60,-3.4484217166900635,1.1435519456863403,86,0.01168966107070446,0.22999754548072815,0.0003,104
50.0,5299,-28.300855470000005,5400,60,-3.8585708141326904,1.3643256425857544,89,0.018646176904439926,0.21772202849388123,0.0003,108
50.0,5499,-27.22768146,5600,60,-3.7554407119750977,1.787893295288086,93,0.022439222782850266,0.20617525279521942,0.0003,112
50.0,5699,-26.337673329999998,5800,60,-4.006110191345215,2.121856212615967,96,0.019773442298173904,0.19529883563518524,0.0003,116
50.0,5899,-25.387619360000002,6000,59,-3.563141345977783,2.1464643478393555,100,0.01927074044942856,0.184970885515213,0.0003,120
50.0,6099,-24.537172230000007,6200,59,-3.8032801151275635,2.2895522117614746,103,0.016289914026856422,0.17524275183677673,0.0003,124
50.0,6299,-23.753342590000003,6400,59,-4.497541904449463,2.491244077682495,107,0.02540619671344757,0.1660279929637909,0.0003,128
50.0,6499,-23.100081959999997,6600,59,-4.1804022789001465,2.9480507373809814,110,0.018838318064808846,0.15731140971183777,0.0003,132
50.0,6699,-22.432828120000007,6800,59,-3.634279727935791,3.2066874504089355,114,0.03570009022951126,0.14909303188323975,0.0003,136
50.0,6899,-21.914305999999996,7000,59,-4.186026096343994,3.371943473815918,117,0.021750932559370995,0.1413411647081375,0.0003,140
50.0,7099,-21.089190280000004,7200,59,-3.9907760620117188,3.4793224334716797,121,0.020565934479236603,0.13400280475616455,0.0003,144
50.0,7299,-20.45430523,7400,59,-3.5719823837280273,3.469952344894409,124,0.013990512117743492,0.12706045806407928,0.0003,148
50.0,7499,-19.626642169999997,7600,59,-4.137091636657715,3.8307864665985107,128,0.016966767609119415,0.12054269760847092,0.0003,152
50.0,7699,-18.99984535,7800,59,-3.711489677429199,4.040892601013184,131,0.0191812701523304,0.11436887085437775,0.0003,156
50.0,7899,-18.37442762,8000,59,-4.827177047729492,4.491429805755615,135,0.01873703859746456,0.10853064805269241,0.0003,160
50.0,8099,-18.0062495,8200,59,-4.53407621383667,4.571096420288086,138,0.017601095139980316,0.10302913188934326,0.0003,164
50.0,8299,-17.431737009999996,8400,59,-3.6184370517730713,4.784634113311768,141,0.015834830701351166,0.09783021360635757,0.0003,168
50.0,8499,-16.840453880000002,8600,59,-3.5341827869415283,4.774240016937256,145,0.018814105540513992,0.09291978180408478,0.0003,172
50.0,8699,-16.3171958,8800,59,-3.6328041553497314,5.141183853149414,148,0.024366460740566254,0.08826681226491928,0.0003,176
50.0,8899,-15.94571722,9000,59,-3.5190281867980957,5.411325454711914,152,0.02803778275847435,0.08388210088014603,0.0003,180
50.0,9099,-15.483846540000002,9200,58,-3.9098830223083496,5.295124530792236,155,0.016555286943912506,0.07972750067710876,0.0003,184
50.0,9299,-15.225819979999999,9400,58,-3.092207431793213,5.685760498046875,159,0.01841108873486519,0.07583435624837875,0.0003,188
50.0,9499,-14.89790447,9600,58,-3.2538702487945557,5.737540245056152,163,0.017317885532975197,0.07213501632213593,0.0003,192
50.0,9699,-14.54836633,9800,58,-3.1665618419647217,5.876208782196045,166,0.012610632926225662,0.06866197288036346,0.0003,196
50.0,9899,-14.349390369999998,10000,58,-3.358534574508667,5.900250434875488,170,0.0256793275475502,0.06533540785312653,0.0003,200
50.0,10099,-14.011477280000001,10200,58,-3.1255197525024414,6.304793834686279,173,0.02374318614602089,0.06218916177749634,0.0003,204
50.0,10299,-13.72412986,10400,58,-4.062510967254639,6.689618110656738,177,0.01314234733581543,0.05923094600439072,0.0003,208
50.0,10499,-13.560498039999997,10600,58,-3.0754618644714355,6.561955451965332,180,0.02231532707810402,0.05644575133919716,0.0003,212
50.0,10699,-13.30697887,10800,58,-3.3141422271728516,6.578235626220703,183,0.013609243556857109,0.05380966141819954,0.0003,216
50.0,10899,-12.920899599999998,11000,58,-2.9663491249084473,7.001187801361084,187,0.020280756056308746,0.05132383853197098,0.0003,220
50.0,11099,-12.771000999999998,11200,58,-2.6910922527313232,7.1145853996276855,190,0.018567167222499847,0.04895390197634697,0.0003,224
50.0,11299,-12.721983689999997,11400,58,-2.8676960468292236,7.042846202850342,194,0.017331300303339958,0.04668977111577988,0.0003,228
50.0,11499,-12.287152769999999,11600,58,-3.0841822624206543,7.376652240753174,197,0.021985050290822983,0.04454737901687622,0.0003,232
50.0,11699,-11.916446330000003,11800,58,-2.3457696437835693,7.416289329528809,201,0.03565945103764534,0.042539797723293304,0.0003,236
50.0,11899,-11.596752400000003,12000,58,-2.7275073528289795,7.497323989868164,204,0.027780955657362938,0.04068049415946007,0.0003,240
50.0,12099,-11.439361270000001,12200,58,-2.8166139125823975,7.520691394805908,208,0.01340822596102953,0.03893168270587921,0.0003,244
50.0,12299,-11.094329229999998,12400,58,-1.9265497922897339,8.012914657592773,212,0.024801254272460938,0.03727864846587181,0.0003,248
50.0,12499,-11.071963669999997,12600,58,-1.625459909439087,7.985374450683594,216,0.02210817113518715,0.03573691472411156,0.0003,252
50.0,12699,-10.800715619999998,12800,57,-1.9877687692642212,8.161914825439453,220,0.01854216679930687,0.034316278994083405,0.0003,256
50.0,12899,-10.726538320000001,13000,57,-1.3993289470672607,8.253314018249512,224,0.01675734482705593,0.03294837847352028,0.0003,260
50.0,13099,-10.4503719,13200,57,-2.6372623443603516,8.170209884643555,228,0.025717083364725113,0.03164387866854668,0.0003,264
50.0,13299,-10.22747904,13400,57,-0.762927234172821,8.44091796875,231,0.01820475421845913,0.030398378148674965,0.0003,268
50.0,13499,-10.1698055,13600,57,-1.4355900287628174,8.416877746582031,235,0.02459144778549671,0.02926970273256302,0.0003,272
50.0,13699,-10.202496639999998,13800,57,-1.209318995475769,8.694478034973145,238,0.02908949926495552,0.02818872034549713,0.0003,276
50.0,13899,-10.01332634,14000,57,-1.5573127269744873,9.080700874328613,242,0.022253431379795074,0.027202369645237923,0.0003,280
50.0,14099,-9.852503800000001,14200,57,-1.4676322937011719,8.788073539733887,246,0.018416624516248703,0.026274776086211205,0.0003,284
50.0,14299,-9.713728699999999,14400,57,-1.2615208625793457,8.8689603805542,250,0.016715513542294502,0.025467783212661743,0.0003,288
50.0,14499,-9.556273439999998,14600,57,-1.3691962957382202,8.714486122131348,254,0.02636028453707695,0.02467549592256546,0.0003,292
50.0,14699,-9.400433609999999,14800,57,-0.8847246766090393,9.26437759399414,258,0.025526393204927444,0.02400272712111473,0.0003,296
50.0,14899,-9.224088440000001,15000,57,-1.2728248834609985,9.268091201782227,262,0.03763891011476517,0.023387564346194267,0.0003,300
50.0,15099,-9.10786744,15200,57,-0.8490102291107178,9.358185768127441,265,0.02013263665139675,0.02279883809387684,0.0003,304
50.0,15299,-8.8973419,15400,57,-0.7165964841842651,9.40902328491211,269,0.015079857781529427,0.022384297102689743,0.0003,308
50.0,15499,-8.74464529,15600,57,0.4280860126018524,9.4418306350708,272,0.027256086468696594,0.022016890347003937,0.0003,312
50.0,15699,-8.56171002,15800,57,0.1347535252571106,9.114752769470215,276,0.02451513335108757,0.02172326110303402,0.0003,316
50.0,15899,-8.511061139999999,16000,57,-0.08398648351430893,9.34476089477539,279,0.022912457585334778,0.02135602757334709,0.0003,320
50.0,16099,-8.367999739999998,16200,57,0.7134718894958496,9.66247844696045,283,0.015551382675766945,0.02113487385213375,0.0003,324
50.0,16299,-8.097436069999999,16400,57,-0.18302422761917114,9.948287963867188,287,0.024827469140291214,0.021018408238887787,0.0003,328
