time/fps,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean
42,0.3612719774246216,3394,-6.290862083435059,0.0003,81,873.75,-1.7130372524261475,4,0.001934253959916532,3495,-17.5261745
40,0.11073461920022964,7390,-6.753726005554199,0.0003,183,936.375,-3.377006769180298,8,0.05519019439816475,7491,-37.183856750000004
40,0.035601068288087845,11386,-5.930115222930908,0.0003,284,957.25,-3.884028911590576,12,0.01372523233294487,11487,-37.085176249999996
40,0.015539774671196938,15382,-6.75874137878418,0.0003,383,967.6875,-0.593025803565979,16,0.15177077054977417,15483,-41.972972562500004
40,0.014789756387472153,17936,-5.178877353668213,0.0003,449,901.85,-0.008672744035720825,20,0.09563246369361877,18037,-26.58766085
40,0.014097552746534348,19749,-5.167715549468994,0.0003,494,827.0833333333334,-2.066335678100586,24,0.17353840172290802,19850,-10.1342515
39,0.012278052978217602,20876,-8.60379409790039,0.0003,525,749.1785714285714,2.660815715789795,28,0.6424321532249451,20977,2.628069142857143
39,0.011556454002857208,21484,-8.333218574523926,0.0003,542,674.53125,-0.5375967025756836,32,0.3673614263534546,21585,13.84349240625
39,0.012058000080287457,21936,-7.586854457855225,0.0003,554,612.1388888888889,1.2003339529037476,36,2.044830799102783,22037,22.830097583333334
39,0.01292596198618412,22455,-9.760187149047852,0.0003,568,563.9,1.441202998161316,40,0.5862917900085449,22556,29.775809949999996
39,0.015562309883534908,23110,-13.312661170959473,0.0003,586,527.5227272727273,1.6421996355056763,44,2.143845796585083,23211,35.447860886363635
39,0.01901169680058956,23702,-5.744350910186768,0.0003,603,495.8958333333333,1.305828332901001,48,0.6594213843345642,23803,40.25963470833333
39,0.022191522642970085,24137,-7.000223159790039,0.0003,614,466.11538461538464,2.3445184230804443,52,0.5355098843574524,24238,44.270658557692315
39,0.025853661820292473,24615,-13.304329872131348,0.0003,628,441.35714285714283,2.3176074028015137,56,1.4820947647094727,24716,47.73176898214285
39,0.030496850609779358,25166,-10.405057907104492,0.0003,643,421.1166666666667,1.1649081707000732,60,1.9826312065124512,25267,50.59804201666667
39,0.037772685289382935,26070,-13.543868064880371,0.0003,668,408.921875,0.9742658734321594,64,0.6037615537643433,26171,53.039033375
39,0.044363316148519516,26756,-10.647993087768555,0.0003,686,394.95588235294116,0.5902934074401855,68,0.5475492477416992,26857,55.333211500000004
39,0.049680233001708984,27224,-19.360122680664062,0.0003,698,379.5138888888889,1.974252462387085,72,0.8399462699890137,27325,57.419016527777785
39,0.056478921324014664,27716,-17.876449584960938,0.0003,713,366.0131578947368,1.1786768436431885,76,0.5228817462921143,27817,59.24104682894736
