rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/ent_coef_loss,train/actor_loss,time/time_elapsed,train/critic_loss,train/ent_coef,train/learning_rate,time/episodes
50.0,99,-43.283311,200,116,-0.09530620276927948,-1.7265081405639648,1,0.28088128566741943,0.9709981679916382,0.0003,4
50.0,299,-44.558434875,400,80,-0.29942142963409424,-2.008539915084839,4,0.19079075753688812,0.9143462181091309,0.0003,8
50.0,499,-44.02219516666667,600,71,-0.4959031343460083,-2.1071317195892334,8,0.17969703674316406,0.8610466718673706,0.0003,12
50.0,699,-43.84154375,800,68,-0.696949303150177,-2.325746536254883,11,0.1336354911327362,0.8109025359153748,0.0003,16
50.0,899,-43.76973374999999,1000,66,-0.9110605716705322,-2.366732358932495,15,0.09671738743782043,0.763839840888977,0.0003,20
50.0,1099,-42.46039975,1200,64,-1.0584148168563843,-2.230403423309326,18,0.06167566031217575,0.7197248339653015,0.0003,24
50.0,1299,-41.75047978571429,1400,63,-1.2596155405044556,-2.420403003692627,22,0.08819147944450378,0.6784887909889221,0.0003,28
50.0,1499,-40.756168375,1600,62,-1.444538950920105,-2.3908004760742188,25,0.07408444583415985,0.6398019790649414,0.0003,32
50.0,1699,-39.9992455,1800,62,-1.6197022199630737,-2.235466241836548,28,0.055562008172273636,0.6033957004547119,0.0003,36
50.0,1899,-38.711941350000004,2000,62,-1.7569812536239624,-2.0689804553985596,32,0.03447382152080536,0.5691710114479065,0.0003,40
50.0,2099,-37.483509159090914,2200,61,-1.9401929378509521,-2.07780122756958,35,0.038952697068452835,0.5370317697525024,0.0003,44
50.0,2299,-36.8490899375,2400,61,-1.985457181930542,-1.973286747932434,38,0.0512273944914341,0.5068165063858032,0.0003,48
50.0,2499,-36.332721865384606,2600,61,-2.224414348602295,-1.9106638431549072,42,0.06129084527492523,0.4783532917499542,0.0003,52
50.0,2699,-35.74828480357143,2800,61,-2.4313881397247314,-1.7094788551330566,45,0.03919259086251259,0.4516024887561798,0.0003,56
50.0,2899,-34.8689658,3000,60,-2.5796830654144287,-1.5423893928527832,49,0.028293106704950333,0.4264400899410248,0.0003,60
50.0,3099,-34.264933625,3200,60,-2.5540452003479004,-1.245103359222412,52,0.022052034735679626,0.4027566611766815,0.0003,64
50.0,3299,-33.68994691176471,3400,60,-2.6824488639831543,-1.044858455657959,56,0.018635254353284836,0.3804326057434082,0.0003,68
50.0,3499,-33.120406958333334,3600,60,-2.827857494354248,-0.7708486914634705,59,0.020035741850733757,0.3594091534614563,0.0003,72
50.0,3699,-32.65621706578947,3800,60,-3.1165215969085693,-0.5658793449401855,62,0.022853348404169083,0.33966976404190063,0.0003,76
50.0,3899,-31.992475975,4000,60,-3.300358533859253,-0.3532985746860504,66,0.01935826987028122,0.3210937976837158,0.0003,80
50.0,4099,-31.605014357142856,4200,60,-3.2022788524627686,-0.2629278004169464,69,0.014600730501115322,0.3035264015197754,0.0003,84
50.0,4299,-31.200835681818184,4400,60,-3.473557472229004,0.22829683125019073,73,0.014663582667708397,0.2870003581047058,0.0003,88
50.0,4499,-30.71980742391304,4600,60,-3.3815698623657227,0.47443658113479614,76,0.021706892177462578,0.27141448855400085,0.0003,92
50.0,4699,-30.30090084375,4800,59,-3.4132208824157715,0.7267601490020752,80,0.012124596163630486,0.25675520300865173,0.0003,96
50.0,4899,-29.92870023,5000,59,-3.4582667350769043,0.8029199838638306,83,0.017707085236907005,0.24290092289447784,0.0003,100
50.0,5099,-28.99968269,5200,59,-3.678025960922241,1.1630679368972778,87,0.021580124273896217,0.2298666089773178,0.0003,104
50.0,5299,-27.908235259999998,5400,59,-3.5734786987304688,1.355893850326538,90,0.015526226721704006,0.21755321323871613,0.0003,108
50.0,5499,-26.9371364,5600,59,-3.9568800926208496,1.7649197578430176,94,0.01727345585823059,0.2059072107076645,0.0003,112
50.0,5699,-25.942572560000002,5800,59,-3.4623289108276367,1.8658450841903687,97,0.014711901545524597,0.19494961202144623,0.0003,116
50.0,5899,-24.981253470000006,6000,59,-3.9630632400512695,2.415665864944458,101,0.020144594833254814,0.18463118374347687,0.0003,120
50.0,6099,-24.200823070000002,6200,59,-3.9312870502471924,2.6683199405670166,104,0.014990247786045074,0.17484214901924133,0.0003,124
50.0,6299,-23.337056859999997,6400,59,-3.760831356048584,2.609240770339966,108,0.016658030450344086,0.16559909284114838,0.0003,128
50.0,6499,-22.527572650000003,6600,59,-4.386575222015381,2.915802478790283,111,0.020007584244012833,0.15688948333263397,0.0003,132
50.0,6699,-21.871811400000002,6800,59,-3.7829949855804443,3.2853009700775146,114,0.01998373121023178,0.14862878620624542,0.0003,136
50.0,6899,-21.53068578,7000,59,-3.644583225250244,3.321794033050537,118,0.015160329639911652,0.14085300266742706,0.0003,140
50.0,7099,-21.155003960000002,7200,59,-4.010517120361328,3.7445755004882812,121,0.019909106194972992,0.13352079689502716,0.0003,144
50.0,7299,-20.45934635,7400,59,-3.908827066421509,4.014114856719971,125,0.014265904203057289,0.12659409642219543,0.0003,148
50.0,7499,-19.83356845,7600,59,-4.193078517913818,4.20123815536499,128,0.012905953451991081,0.12007927149534225,0.0003,152
50.0,7699,-19.32633668,7800,59,-3.514270782470703,4.389832973480225,132,0.013543404638767242,0.11390543729066849,0.0003,156
50.0,7899,-18.966710510000002,8000,58,-3.6743967533111572,4.64520263671875,135,0.01448085717856884,0.10810229182243347,0.0003,160
50.0,8099,-18.4747059,8200,58,-3.9016036987304688,5.411206245422363,139,0.026475388556718826,0.10261082649230957,0.0003,164
50.0,8299,-18.01383165,8400,58,-3.7322285175323486,5.019002437591553,142,0.016855064779520035,0.09740616381168365,0.0003,168
50.0,8499,-17.640147780000003,8600,58,-3.405794620513916,5.126128196716309,146,0.013074886053800583,0.09249065816402435,0.0003,172
50.0,8699,-17.112546520000002,8800,58,-3.9387564659118652,5.44944953918457,149,0.01434593740850687,0.08786408603191376,0.0003,176
50.0,8899,-16.77584329,9000,58,-3.6658778190612793,5.41113805770874,153,0.02382771298289299,0.0834716260433197,0.0003,180
50.0,9099,-16.336188399999998,9200,58,-4.1840128898620605,5.997685432434082,156,0.02222677879035473,0.07936278730630875,0.0003,184
50.0,9299,-15.817156440000002,9400,58,-4.037458419799805,6.094817161560059,160,0.017114130780100822,0.0754740759730339,0.0003,188
50.0,9499,-15.43133117,9600,58,-3.704753875732422,6.048256874084473,163,0.015074821189045906,0.07178397476673126,0.0003,192
50.0,9699,-15.069917509999998,9800,58,-3.46455717086792,6.321154594421387,167,0.02159339189529419,0.06831046938896179,0.0003,196
50.0,9899,-14.712666950000001,10000,58,-3.505619525909424,6.727858543395996,170,0.028554579243063927,0.0650271475315094,0.0003,200
