time/fps,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean
49,0.3907817304134369,3155,-5.940916538238525,0.0003,66,814.0,-1.5771558284759521,4,0.05146179720759392,3256,16.972282749999998
46,0.14345787465572357,6529,-7.514612674713135,0.0003,143,828.75,-2.770200729370117,8,0.08771926164627075,6630,2.3818143750000003
45,0.05715593323111534,9736,-8.383206367492676,0.0003,214,819.75,-3.5773262977600098,12,0.6531301140785217,9837,6.8425510833333325
45,0.034625500440597534,13732,-5.233402729034424,0.0003,303,864.5625,-0.3104078471660614,16,0.4073399603366852,13833,-6.415679624999999
45,0.021801508963108063,17510,-2.4678590297698975,0.0003,386,880.55,-0.9890087842941284,20,0.11784370988607407,17611,-5.12141175
45,0.01233639195561409,20255,-2.974782943725586,0.0003,447,848.1666666666666,0.19579878449440002,24,0.49259981513023376,20356,1.471682583333335
45,0.01504311989992857,21383,-4.041665077209473,0.0003,473,767.2857142857143,1.3032317161560059,28,0.43073561787605286,21484,13.778866535714286
45,0.019032582640647888,22462,-2.6841306686401367,0.0003,497,705.09375,0.27310696244239807,32,0.5702530145645142,22563,22.8664934375
45,0.023506591096520424,23756,-6.4840497970581055,0.0003,525,662.6944444444445,-0.4296351969242096,36,2.6055819988250732,23857,26.48758888888889
45,0.025657355785369873,24211,-10.089407920837402,0.0003,537,607.8,-0.18438801169395447,40,0.8496948480606079,24312,33.365310650000005
45,0.027502229437232018,24694,-9.386857032775879,0.0003,547,563.5227272727273,0.98906409740448,44,2.417691230773926,24795,38.91522452272727
45,0.031937140971422195,25302,-13.063530921936035,0.0003,562,529.2291666666666,1.4407963752746582,48,2.7872653007507324,25403,43.43858297916666
44,0.03458503633737564,25906,-14.166252136230469,0.0003,578,500.13461538461536,0.570544958114624,52,2.7450366020202637,26007,47.18072326923077
44,0.04146842658519745,26574,-20.284435272216797,0.0003,597,476.3392857142857,1.3076388835906982,56,1.71630859375,26675,50.237453125
44,0.04408727213740349,27045,-24.489337921142578,0.0003,609,452.43333333333334,-0.2592487335205078,60,5.169167518615723,27146,53.087530883333336
44,0.050056762993335724,27857,-12.845253944396973,0.0003,630,436.84375,-0.41215044260025024,64,3.3124356269836426,27958,55.350114875
44,0.05180487036705017,28532,-33.52737045288086,0.0003,647,421.0735294117647,2.391526699066162,68,1.151265025138855,28633,57.45888238235294
44,0.04935077950358391,29124,-25.04572105407715,0.0003,663,405.90277777777777,0.7992897033691406,72,1.166696310043335,29225,59.418465319444444
43,0.05167777091264725,29773,-24.88690185546875,0.0003,680,393.07894736842104,0.1511305272579193,76,0.7608751654624939,29874,61.176526921052634
43,0.05697125941514969,30302,-28.40936279296875,0.0003,693,380.0375,0.010582119226455688,80,2.709848165512085,30403,62.801398137499994
43,0.06238280609250069,30694,-26.35640525817871,0.0003,703,366.60714285714283,1.6485596895217896,84,1.2322108745574951,30795,64.26253391666667
43,0.07138372212648392,31172,-32.85976791381836,0.0003,717,355.375,-0.34357142448425293,88,1.1856534481048584,31273,65.5730981931818
43,0.07978517562150955,31548,-22.605396270751953,0.0003,727,344.0108695652174,1.0434287786483765,92,0.945127546787262,31649,66.80528008695651
43,0.08715939521789551,31845,-37.23553466796875,0.0003,735,332.7708333333333,2.210012197494507,96,0.8709117770195007,31946,67.95832063541667
43,0.10874451696872711,32295,-38.56571578979492,0.0003,746,323.96,2.5465121269226074,100,0.9393052458763123,32396,68.95063592000001
43,0.1478525847196579,33156,-35.337974548339844,0.0003,768,300.01,2.085160732269287,104,0.8723840117454529,33257,71.83342500999998
43,0.16176797449588776,33485,-41.020851135253906,0.0003,778,269.56,0.5897055864334106,108,2.793994903564453,33586,76.07228818
43,0.17959803342819214,33909,-36.30706787109375,0.0003,788,241.73,0.7496635913848877,112,0.9919664859771729,34010,79.16550581
43,0.19297555088996887,34248,-33.98868179321289,0.0003,796,205.16,0.5948034524917603,116,0.710241436958313,34349,84.7842994
43,0.20524261891841888,34567,-44.95808410644531,0.0003,804,170.57,0.7700014114379883,120,1.1170945167541504,34668,88.55007313999998
43,0.2193964719772339,34917,-39.60964584350586,0.0003,813,146.62,0.7718653678894043,124,1.4770162105560303,35018,90.91230360000002
42,0.23431053757667542,35426,-36.64048767089844,0.0003,826,140.43,-0.042672861367464066,128,4.786890029907227,35527,91.07035332
42,0.24023699760437012,35754,-40.678009033203125,0.0003,835,132.92,-0.5618453621864319,132,0.9842433333396912,35855,91.37705502
42,0.23774129152297974,36431,-42.1019287109375,0.0003,850,126.75,0.09324494004249573,136,0.6757713556289673,36532,92.72463024000001
42,0.22355914115905762,36825,-48.32416534423828,0.0003,860,126.14,-0.4891372323036194,140,0.6331895589828491,36926,92.70575579
42,0.20558048784732819,37228,-43.477909088134766,0.0003,869,125.34,-0.9354045987129211,144,0.8605230450630188,37329,92.67086966000001
42,0.18793314695358276,37703,-47.37750244140625,0.0003,880,124.01,-0.0747728943824768,148,0.48431074619293213,37804,92.62001666
42,0.17472437024116516,38073,-44.55552291870117,0.0003,889,121.67,-0.2641972005367279,152,0.5262805223464966,38174,92.7016911
42,0.13077834248542786,39371,-46.40175247192383,0.0003,918,127.97,-0.9031468629837036,156,0.4982651472091675,39472,91.25439764999999
43,0.11763937771320343,39788,-44.218116760253906,0.0003,927,127.43,-0.6968297958374023,160,0.43170225620269775,39889,91.26490960999999
43,0.10579264909029007,40227,-46.309043884277344,0.0003,937,123.7,-0.10002279281616211,164,0.4993188977241516,40328,91.43696044999999
43,0.09362457692623138,40702,-43.67869567871094,0.0003,947,121.7,-1.4435384273529053,168,0.2934396266937256,40803,91.50497196
43,0.0809415802359581,41303,-46.79267120361328,0.0003,961,121.79,-0.7276714444160461,172,0.5182337760925293,41404,91.48472887999998
43,0.07290206849575043,41771,-40.07467269897461,0.0003,972,119.98,-1.463026762008667,176,0.810724139213562,41872,91.53636266
43,0.07031523436307907,42292,-42.2866096496582,0.0003,983,119.9,-1.0314068794250488,180,0.41715335845947266,42393,91.53056063999999
43,0.06989728659391403,42746,-47.06573486328125,0.0003,993,120.52,0.11496806144714355,184,0.44671207666397095,42847,91.50362618999998
43,0.07183759659528732,43330,-47.78282928466797,0.0003,1006,121.58,0.2423417717218399,188,0.410916805267334,43431,91.46421237999999
43,0.07460194826126099,43754,-44.7861213684082,0.0003,1017,122.06,-0.31323689222335815,192,0.6407920122146606,43855,91.44981934999996
42,0.08030202239751816,44564,-45.23929214477539,0.0003,1038,127.19,-0.06256748735904694,196,0.36378049850463867,44665,91.27579731999998
42,0.0815846249461174,45024,-43.97132873535156,0.0003,1050,127.29,-0.11553835868835449,200,0.4781525731086731,45125,91.28860749000002
42,0.08218731731176376,45559,-45.826690673828125,0.0003,1062,124.03,-0.1956029236316681,204,0.24138206243515015,45660,91.39507908
42,0.08071988075971603,46037,-44.764339447021484,0.0003,1075,125.52,-1.0892030000686646,208,0.3670322597026825,46138,91.33448598999999
42,0.08035687357187271,46490,-45.62684631347656,0.0003,1086,125.81,-0.3843177556991577,212,0.40181076526641846,46591,91.31503043999999
42,0.07766833901405334,47028,-49.34393310546875,0.0003,1099,127.8,-0.03327234834432602,216,0.3962482213973999,47129,91.28242599
42,0.076781265437603,47473,-42.60309600830078,0.0003,1110,129.06,-0.855426013469696,220,0.2593410015106201,47574,91.22965519000002
42,0.07414969801902771,47915,-49.367252349853516,0.0003,1120,129.98,1.7542833089828491,224,0.3935663402080536,48016,91.20692499
42,0.06818212568759918,48441,-47.58506774902344,0.0003,1134,130.15,1.3012546300888062,228,0.34943729639053345,48542,91.27509016
42,0.06867236644029617,48858,-43.936500549316406,0.0003,1144,131.04,0.5522978901863098,232,0.5335356593132019,48959,91.23543563999999
42,0.06774835288524628,49245,-44.279788970947266,0.0003,1154,128.14,-0.1626160740852356,236,0.2587701678276062,49346,91.43198542
