time/fps,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean
51,0.3235769271850586,3787,-6.686100959777832,0.0003,76,972.0,-1.8067626953125,4,0.021939830854535103,3888,-19.18819625
49,0.12018037587404251,7119,-8.80947208404541,0.0003,145,902.5,-3.06097412109375,8,0.22599107027053833,7220,-16.688707375000003
49,0.051588188856840134,10180,-6.527412414550781,0.0003,209,856.75,-3.314023017883301,12,0.2242114543914795,10281,13.169525749999996
48,0.037061698734760284,11685,-7.126632213592529,0.0003,242,736.625,-2.103299140930176,16,0.08570355176925659,11786,30.31610675
48,0.026948967948555946,13402,-10.796692848205566,0.0003,278,675.15,-0.6160733103752136,20,1.0512975454330444,13503,40.91988075
48,0.023422904312610626,14543,-10.85493278503418,0.0003,303,610.1666666666666,0.6648478507995605,24,1.2073750495910645,14644,48.844413374999995
48,0.02439715340733528,15362,-14.155293464660645,0.0003,321,552.25,2.5301976203918457,28,0.8319045305252075,15463,54.167078107142856
48,0.030088204890489578,16051,-11.757772445678711,0.0003,335,504.75,1.1934177875518799,32,0.37137505412101746,16152,58.38731209375
47,0.03789997100830078,16652,-11.205228805541992,0.0003,349,465.3611111111111,1.1289377212524414,36,0.791869044303894,16753,62.06827097222223
47,0.0446486659348011,17200,-17.02557373046875,0.0003,361,432.525,1.3317415714263916,40,1.2878758907318115,17301,65.169468075
47,0.053818050771951675,17871,-21.263763427734375,0.0003,376,408.45454545454544,2.0521976947784424,44,1.393311858177185,17972,67.64877529545454
47,0.059153907001018524,18320,-18.580896377563477,0.0003,386,383.7708333333333,0.7574387788772583,48,1.4409658908843994,18421,69.76377339583333
47,0.06563688069581985,18948,-16.3882999420166,0.0003,399,366.3269230769231,1.342320203781128,52,7.424987316131592,19049,71.54974153846155
47,0.06208115071058273,19556,-23.958160400390625,0.0003,413,351.01785714285717,-0.2530974745750427,56,1.270689606666565,19657,72.95252717857143
47,0.05884179100394249,20031,-20.577966690063477,0.0003,424,335.53333333333336,-1.7079830169677734,60,0.740689754486084,20132,74.29608520000001
47,0.058855585753917694,20530,-12.671684265136719,0.0003,435,322.359375,1.0405057668685913,64,0.5467182397842407,20631,75.488537734375
47,0.06622565537691116,21114,-24.81589126586914,0.0003,448,311.9852941176471,-0.31487083435058594,68,3.4987261295318604,21215,76.55144305882355
47,0.07469388842582703,21699,-25.5076961517334,0.0003,460,302.77777777777777,1.6082737445831299,72,0.5060513615608215,21800,77.46261715277777
47,0.07995404303073883,22190,-25.453792572021484,0.0003,472,293.30263157894734,-0.277834415435791,76,0.7978345155715942,22291,78.28755263157893
