train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,time/episodes,time/time_elapsed
699,800,21.905437469482422,-0.3182523846626282,67,0.32617461681365967,200.0,0.812622606754303,-1280.2875435,0.0003,4,11
1499,1600,38.99726867675781,-0.5801370739936829,61,0.309306800365448,200.0,0.6493900418281555,-1399.291108625,0.0003,8,26
2299,2400,61.05138397216797,-0.608361005783081,58,0.3256465494632721,200.0,0.5341893434524536,-1307.6909363333336,0.0003,12,40
3099,3200,73.75025177001953,-0.336181640625,57,1.0197625160217285,200.0,0.4566507339477539,-1175.78901675,0.0003,16,55
3899,4000,78.643798828125,-0.347962886095047,57,1.0376355648040771,200.0,0.3970038890838623,-1103.8755569,0.0003,20,69
4699,4800,94.42658996582031,-0.5243542790412903,57,1.6776025295257568,200.0,0.3497583866119385,-945.6687007916668,0.0003,24,83
5499,5600,70.37349700927734,-0.25456690788269043,56,1.216468095779419,200.0,0.3031787872314453,-840.8833550357145,0.0003,28,98
6299,6400,79.40833282470703,-0.42800039052963257,56,1.8899778127670288,200.0,0.2627035975456238,-751.91118221875,0.0003,32,112
7099,7200,75.16496276855469,-0.6156208515167236,56,2.495410919189453,200.0,0.2276538908481598,-688.0827983888889,0.0003,36,126
7899,8000,76.88440704345703,-0.16338028013706207,56,5.439464569091797,200.0,0.2039303481578827,-631.3068465250001,0.0003,40,141
8699,8800,49.99304962158203,-1.061525583267212,56,1.8006260395050049,200.0,0.18099862337112427,-579.46498025,0.0003,44,156
9499,9600,60.30696487426758,0.07705166935920715,56,1.5810973644256592,200.0,0.16201326251029968,-541.37281,0.0003,48,170
10299,10400,53.477603912353516,-0.08945637941360474,56,1.7323055267333984,200.0,0.1440465897321701,-511.8030598076923,0.0003,52,184
11099,11200,55.526206970214844,-0.7503402233123779,56,1.2268939018249512,200.0,0.12756916880607605,-484.01509430357146,0.0003,56,198
11899,12000,51.95100402832031,-0.3687364459037781,56,3.2650694847106934,200.0,0.1131768748164177,-463.7827712666667,0.0003,60,213
12699,12800,52.705955505371094,-0.2783550024032593,56,1.3560230731964111,200.0,0.10099177062511444,-446.24180659375,0.0003,64,227
13499,13600,42.26436233520508,-0.3806554079055786,56,2.191249132156372,200.0,0.0934232547879219,-433.6040087941177,0.0003,68,241
14299,14400,50.8140869140625,0.197416752576828,56,1.8545840978622437,200.0,0.08475733548402786,-416.12571025000005,0.0003,72,255
15099,15200,39.34588623046875,-0.8882214426994324,56,1.044640064239502,200.0,0.07911058515310287,-402.02618242105274,0.0003,76,269
15899,16000,34.97928237915039,-0.7374885678291321,56,0.7275645136833191,200.0,0.07467328757047653,-392.04674465000005,0.0003,80,284
16699,16800,37.11179733276367,-0.25684672594070435,56,0.874346137046814,200.0,0.0677768737077713,-377.7671780952382,0.0003,84,298
17499,17600,48.92737579345703,-0.39149314165115356,56,1.4515669345855713,200.0,0.06335926055908203,-367.3614869886364,0.0003,88,312
18299,18400,40.72892379760742,1.5272083282470703,56,1.2275476455688477,200.0,0.05661078169941902,-355.2436677717392,0.0003,92,327
19099,19200,28.330921173095703,-0.8399964570999146,56,0.8388892412185669,200.0,0.05167629197239876,-345.4703103958334,0.0003,96,341
19899,20000,33.38210678100586,-1.2081893682479858,56,1.1473097801208496,200.0,0.04801947996020317,-338.7426665600001,0.0003,100,355
20699,20800,29.583499908447266,-0.9978460073471069,56,0.8007681369781494,200.0,0.04496578499674797,-294.62305963,0.0003,104,369
21499,21600,36.03758239746094,0.6183286309242249,56,1.5892090797424316,200.0,0.042947039008140564,-238.71349621000002,0.0003,108,383
22299,22400,25.4481258392334,-0.33116137981414795,56,0.38577979803085327,200.0,0.043135568499565125,-199.65343055999998,0.0003,112,398
23099,23200,34.37730407714844,-0.4481745660305023,56,0.8477877378463745,200.0,0.039763301610946655,-174.33499121,0.0003,116,412
23899,24000,27.9776611328125,0.005937665700912476,56,1.223691463470459,200.0,0.03675463795661926,-146.31561409,0.0003,120,426
24699,24800,17.849634170532227,-0.50343918800354,56,0.7292075157165527,200.0,0.03387760370969772,-144.94668675,0.0003,124,440
25499,25600,32.69290542602539,0.48067331314086914,56,0.9547089338302612,200.0,0.03300255537033081,-138.89823649000002,0.0003,128,454
26299,26400,32.1185302734375,0.045224130153656006,56,1.2000659704208374,200.0,0.030664309859275818,-138.22686,0.0003,132,469
27099,27200,29.87933349609375,-0.7412378787994385,56,0.7014507055282593,200.0,0.030415508896112442,-138.05443163,0.0003,136,483
27899,28000,24.32730484008789,-1.645283818244934,56,0.9221280217170715,200.0,0.028692573308944702,-139.17080763,0.0003,140,497
28699,28800,28.165424346923828,0.11333253979682922,56,0.9192143678665161,200.0,0.026751860976219177,-142.68420866,0.0003,144,511
29499,29600,39.53763961791992,0.5159597396850586,56,0.8531033396720886,200.0,0.025924935936927795,-144.96969101,0.0003,148,526
