train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,time/episodes,time/time_elapsed
699,800,23.243162155151367,-0.3222946524620056,60,0.20360711216926575,200.0,0.813075840473175,-1550.5337869999998,0.0003,4,13
1499,1600,48.92734146118164,-0.6172720789909363,54,0.2194216251373291,200.0,0.6458884477615356,-1489.34701275,0.0003,8,29
2299,2400,71.6773452758789,-0.5315467119216919,52,0.19353628158569336,200.0,0.5249934792518616,-1369.3878176666667,0.0003,12,46
3099,3200,80.6230697631836,-0.4570499062538147,50,1.0673190355300903,200.0,0.4440622925758362,-1233.6293853124998,0.0003,16,63
3899,4000,87.7913818359375,-0.7430751919746399,50,0.9629217386245728,200.0,0.3829675018787384,-1069.8973258499998,0.0003,20,79
4699,4800,86.1247787475586,-0.7733054161071777,49,2.198399066925049,200.0,0.32666733860969543,-917.9441200833331,0.0003,24,96
5499,5600,103.47614288330078,-0.19288364052772522,49,2.645048141479492,200.0,0.27368730306625366,-809.8264125714285,0.0003,28,112
6299,6400,96.09962463378906,-0.0752309188246727,49,3.354872703552246,200.0,0.23476262390613556,-728.1111699687499,0.0003,32,129
7099,7200,93.31434631347656,-0.7229374647140503,49,2.882335901260376,200.0,0.2034742385149002,-664.7643552222221,0.0003,36,145
7899,8000,73.38225555419922,0.10208133608102798,49,4.5223188400268555,200.0,0.17944854497909546,-616.5440512499999,0.0003,40,162
8699,8800,76.10851287841797,-0.8374589681625366,49,1.5095820426940918,200.0,0.15850219130516052,-568.7896790909091,0.0003,44,179
9499,9600,61.68535232543945,-0.88124680519104,49,1.1788620948791504,200.0,0.13693590462207794,-536.5087966875,0.0003,48,195
10299,10400,71.39765167236328,-0.5416326522827148,48,2.2850093841552734,200.0,0.12144184857606888,-512.8444793461538,0.0003,52,212
11099,11200,62.57646942138672,-0.5062353014945984,48,2.5307390689849854,200.0,0.10708051174879074,-487.01107541071434,0.0003,56,229
11899,12000,75.9668197631836,0.7911865711212158,48,4.454110145568848,200.0,0.09366153180599213,-465.50986903333336,0.0003,60,246
12699,12800,43.487953186035156,-0.7657260894775391,48,2.494040012359619,200.0,0.0821174904704094,-445.800679328125,0.0003,64,263
13499,13600,37.057701110839844,-0.8038859963417053,48,1.8132036924362183,200.0,0.07275223731994629,-430.40872944117643,0.0003,68,280
14299,14400,46.2578010559082,-0.5173324346542358,48,1.940131664276123,200.0,0.06484359502792358,-413.25115655555555,0.0003,72,297
15099,15200,48.8737678527832,-0.4190170168876648,48,0.7422451972961426,200.0,0.05965214967727661,-394.6415926578947,0.0003,76,314
15899,16000,39.83473205566406,-0.002402007579803467,48,1.186680793762207,200.0,0.05231523886322975,-376.48617403749995,0.0003,80,331
16699,16800,49.437259674072266,-1.34615159034729,48,3.5778350830078125,200.0,0.04740116372704506,-365.65824525,0.0003,84,348
17499,17600,38.33261489868164,-0.7783870100975037,48,1.9322059154510498,200.0,0.04196307435631752,-354.52678727272723,0.0003,88,364
18299,18400,36.0200080871582,-1.477925181388855,48,0.7046760320663452,200.0,0.03603183105587959,-344.2335437934782,0.0003,92,380
19099,19200,33.31541442871094,-0.49275124073028564,48,0.9693365693092346,200.0,0.033867597579956055,-333.516917375,0.0003,96,397
19899,20000,39.54528045654297,0.04215852916240692,48,0.8957423567771912,200.0,0.029403744265437126,-326.02451533,0.0003,100,414
20699,20800,28.692594528198242,-0.6335002183914185,48,2.4751880168914795,200.0,0.027254285290837288,-271.02313607,0.0003,104,432
21499,21600,38.425987243652344,0.620592474937439,48,2.3978965282440186,200.0,0.025972040370106697,-217.65703626,0.0003,108,449
22299,22400,47.68345642089844,2.9654576778411865,48,1.5661020278930664,200.0,0.024446377530694008,-177.72201172,0.0003,112,466
23099,23200,40.08109664916992,3.7000768184661865,48,1.5137522220611572,200.0,0.025702429935336113,-150.67070813,0.0003,116,482
23899,24000,31.65467071533203,-2.0149409770965576,48,1.0349299907684326,200.0,0.028212394565343857,-140.00642299,0.0003,120,499
24699,24800,32.17088317871094,-1.8991835117340088,48,0.9001865386962891,200.0,0.025913380086421967,-140.91931774,0.0003,124,515
25499,25600,31.318756103515625,0.5697072148323059,48,1.0705227851867676,200.0,0.025831574574112892,-144.36938041,0.0003,128,532
26299,26400,27.322616577148438,-1.1641819477081299,48,0.45348072052001953,200.0,0.02746042050421238,-141.90871177,0.0003,132,548
27099,27200,30.926132202148438,0.24540959298610687,48,0.9075285196304321,200.0,0.025241032242774963,-143.25551323000002,0.0003,136,565
27899,28000,28.416156768798828,1.0603013038635254,48,1.287975788116455,200.0,0.02541799284517765,-142.92915029,0.0003,140,581
28699,28800,24.297937393188477,-0.5402010679244995,48,0.42648500204086304,200.0,0.02456422708928585,-146.42002965999998,0.0003,144,598
29499,29600,37.02903366088867,-1.3315337896347046,48,0.7989020347595215,200.0,0.02132146805524826,-146.29477944999996,0.0003,148,615
