rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/ent_coef_loss,train/actor_loss,time/time_elapsed,train/critic_loss,train/ent_coef,train/learning_rate,time/episodes
50.0,99,-41.499311000000006,200,85,-0.09804777055978775,-1.7029749155044556,2,0.29263484477996826,0.9707873463630676,0.0003,4
50.0,299,-41.96962825,400,61,-0.30170562863349915,-1.8072205781936646,6,0.20956429839134216,0.9141353964805603,0.0003,8
50.0,499,-43.335007,600,56,-0.5078397393226624,-2.163487434387207,10,0.1333552747964859,0.8607340455055237,0.0003,12
50.0,699,-43.521623625000004,800,54,-0.7030553817749023,-2.2389450073242188,14,0.1584765762090683,0.8105550408363342,0.0003,16
50.0,899,-42.80591955000001,1000,53,-0.8904715776443481,-2.401526927947998,18,0.09259765595197678,0.7634691596031189,0.0003,20
50.0,1099,-42.32540783333333,1200,52,-1.0886907577514648,-2.426974296569824,23,0.09451688826084137,0.7193095088005066,0.0003,24
50.0,1299,-41.52321849999999,1400,51,-1.2874653339385986,-2.3835792541503906,27,0.09333637356758118,0.6780307292938232,0.0003,28
50.0,1499,-40.7192011875,1600,50,-1.4007959365844727,-2.310422420501709,31,0.08835642039775848,0.6392883062362671,0.0003,32
50.0,1699,-40.03312427777777,1800,49,-1.568004846572876,-2.3269577026367188,36,0.054439935833215714,0.6029716730117798,0.0003,36
50.0,1899,-39.12766152499999,2000,49,-1.8246040344238281,-2.2058088779449463,40,0.0665033832192421,0.5688059329986572,0.0003,40
50.0,2099,-38.483444363636366,2200,49,-1.9561461210250854,-2.2092297077178955,44,0.052083805203437805,0.5367088913917542,0.0003,44
50.0,2299,-37.773921083333335,2400,49,-2.0634520053863525,-1.9540858268737793,48,0.03458304703235626,0.5064644813537598,0.0003,48
50.0,2499,-37.12371511538461,2600,48,-2.171675205230713,-1.8600826263427734,53,0.03889084607362747,0.47799649834632874,0.0003,52
50.0,2699,-36.79087948214286,2800,48,-2.4657959938049316,-1.5758740901947021,57,0.03950836509466171,0.4512031674385071,0.0003,56
50.0,2899,-36.21429316666667,3000,48,-2.6442348957061768,-1.374341607093811,62,0.024123916402459145,0.4259772300720215,0.0003,60
50.0,3099,-35.5711874375,3200,48,-2.7099783420562744,-1.2295715808868408,66,0.03458826616406441,0.40227049589157104,0.0003,64
50.0,3299,-34.895479014705884,3400,47,-2.7164037227630615,-0.9881436824798584,70,0.038471952080726624,0.38003095984458923,0.0003,68
50.0,3499,-34.38149925,3600,47,-2.898115396499634,-0.6804456114768982,75,0.0258631631731987,0.35909634828567505,0.0003,72
50.0,3699,-33.77491193421052,3800,47,-3.2023017406463623,-0.4722827076911926,79,0.03271853178739548,0.3394082188606262,0.0003,76
50.0,3899,-33.2578161375,4000,47,-3.1768627166748047,-0.27975720167160034,83,0.016933459788560867,0.3208790421485901,0.0003,80
50.0,4099,-32.7924860595238,4200,47,-3.1282172203063965,0.04111364483833313,88,0.02013310231268406,0.3034634590148926,0.0003,84
50.0,4299,-32.244846079545454,4400,47,-3.2370195388793945,0.2293853908777237,92,0.024032127112150192,0.2870236933231354,0.0003,88
50.0,4499,-31.79692270652174,4600,47,-3.392059564590454,0.4354737401008606,97,0.018154073506593704,0.2715482711791992,0.0003,92
50.0,4699,-31.167025562499997,4800,47,-3.256770372390747,0.7405626177787781,101,0.028210535645484924,0.2569383680820465,0.0003,96
50.0,4899,-30.701825209999996,5000,47,-3.67439866065979,0.936948299407959,105,0.018096666783094406,0.24316135048866272,0.0003,100
50.0,5099,-29.786462260000008,5200,47,-3.6654534339904785,1.0998928546905518,110,0.023386696353554726,0.23013393580913544,0.0003,104
50.0,5299,-28.767839769999995,5400,47,-3.625835418701172,1.5478407144546509,114,0.02001616731286049,0.2178848683834076,0.0003,108
50.0,5499,-27.725264669999998,5600,46,-3.7588250637054443,1.8836408853530884,119,0.010684873908758163,0.2062910497188568,0.0003,112
50.0,5699,-26.65722124,5800,46,-3.7602975368499756,1.8665125370025635,124,0.023118257522583008,0.19531282782554626,0.0003,116
50.0,5899,-25.693591150000003,6000,46,-3.7796597480773926,2.0880799293518066,128,0.01305027212947607,0.18496106564998627,0.0003,120
50.0,6099,-24.709449220000007,6200,46,-3.861629009246826,2.558560371398926,133,0.016997000202536583,0.17521804571151733,0.0003,124
50.0,6299,-23.888945720000006,6400,46,-3.7053749561309814,2.2731339931488037,137,0.03240593895316124,0.16596241295337677,0.0003,128
50.0,6499,-23.115098109999995,6600,46,-3.9858407974243164,2.8674917221069336,141,0.018675245344638824,0.15719152987003326,0.0003,132
50.0,6699,-22.348632369999997,6800,46,-4.148271560668945,3.185803174972534,146,0.0123524758964777,0.14897242188453674,0.0003,136
50.0,6899,-21.756472389999995,7000,46,-4.138289451599121,3.2754616737365723,150,0.020882461220026016,0.1412012130022049,0.0003,140
50.0,7099,-21.101076849999995,7200,46,-4.082921028137207,3.529613971710205,155,0.018883254379034042,0.1338566541671753,0.0003,144
50.0,7299,-20.450847480000004,7400,46,-3.9552245140075684,3.7422378063201904,159,0.017668837681412697,0.12688636779785156,0.0003,148
50.0,7499,-19.73672981,7600,46,-4.318768501281738,3.9822373390197754,163,0.01283043622970581,0.12032504379749298,0.0003,152
