train/actor_loss,time/time_elapsed,train/critic_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,time/episodes
-6.514823913574219,74,0.000873258919455111,-1.992416501045227,3895,0.0003,53,-54.6205415,3996,999.0,0.31091561913490295,4
-6.730179309844971,148,0.006751383654773235,-3.292193651199341,7618,0.0003,52,-36.139036625,7719,964.875,0.1028333231806755,8
-6.117907524108887,216,0.006153020076453686,-3.8587944507598877,11012,0.0003,51,-22.0509945,11113,926.0833333333334,0.03881962597370148,12
-6.618476867675781,296,0.11528129875659943,0.8462523818016052,15008,0.0003,50,-28.281145,15109,944.3125,0.020427627488970757,16
-5.003401279449463,368,0.053320422768592834,-0.14313769340515137,18577,0.0003,50,-20.93466905,18678,933.9,0.021293602883815765,20
-4.878730297088623,437,0.09286101162433624,1.719857931137085,21980,0.0003,50,-16.665879125,22081,920.0416666666666,0.01626010797917843,24
-4.296111583709717,501,0.11502692103385925,-0.292143851518631,25127,0.0003,50,-10.600787357142854,25228,901.0,0.01955081708729267,28
-6.0376973152160645,528,0.2490392029285431,0.2392686903476715,26475,0.0003,50,0.931781875,26576,830.5,0.016068680211901665,32
-8.611559867858887,545,0.6401416659355164,0.3142196834087372,27318,0.0003,50,10.936179694444442,27419,761.6388888888889,0.016582194715738297,36
-3.745826244354248,584,0.33880966901779175,0.31537702679634094,29217,0.0003,50,14.303487924999999,29318,732.95,0.017155256122350693,40
-5.390782833099365,597,0.3524215519428253,2.3369455337524414,29904,0.0003,50,21.322364272727274,30005,681.9318181818181,0.019686566665768623,44
-4.7830095291137695,609,0.4221755862236023,0.631064772605896,30495,0.0003,50,27.1821106875,30596,637.4166666666666,0.023425433784723282,48
-9.630237579345703,622,1.0294244289398193,0.4469605088233948,31071,0.0003,50,32.12397975,31172,599.4615384615385,0.028191739693284035,52
-13.752388000488281,632,34.791465759277344,1.6832196712493896,31615,0.0003,50,36.25414958928572,31716,566.3571428571429,0.031114500015974045,56
-9.536191940307617,645,0.5100796222686768,0.7692928314208984,32244,0.0003,50,40.16192421666668,32345,539.0833333333334,0.03374607488512993,60
-13.45836067199707,656,1.7659046649932861,0.4425075650215149,32799,0.0003,50,43.44594654687501,32900,514.0625,0.03573112189769745,64
-12.668893814086914,669,0.4702439606189728,0.9458102583885193,33422,0.0003,50,46.310485073529414,33523,492.9852941176471,0.03775747865438461,68
-16.8959903717041,680,0.5919250845909119,0.4111086130142212,33960,0.0003,50,48.87335455555555,34061,473.06944444444446,0.04075055941939354,72
-16.595279693603516,690,0.5337852239608765,0.29896947741508484,34427,0.0003,50,51.24922847368421,34528,454.3157894736842,0.044691652059555054,76
-23.461223602294922,700,0.5384395122528076,1.9821884632110596,34934,0.0003,50,53.312143825,35035,437.9375,0.052976734936237335,80
-15.248122215270996,720,1.3789904117584229,2.2153682708740234,35918,0.0003,50,55.03117701190476,36019,428.79761904761904,0.07667936384677887,84
-20.657642364501953,730,9.526430130004883,0.16416582465171814,36422,0.0003,50,56.78647147727272,36523,415.03409090909093,0.08779016882181168,88
-25.405101776123047,741,0.4887711703777313,0.5941867232322693,36956,0.0003,49,58.27442542391304,37057,402.79347826086956,0.09953001141548157,92
-25.319534301757812,749,0.30047184228897095,0.4476712644100189,37338,0.0003,49,59.714534593749995,37439,389.9895833333333,0.10817918181419373,96
-29.0452938079834,759,0.4759417772293091,0.6090096235275269,37847,0.0003,49,61.00521348,37948,379.48,0.1199360117316246,100
-17.16910743713379,771,0.330325186252594,-0.2108561098575592,38402,0.0003,49,66.90817593000001,38503,345.07,0.13507172465324402,104
-26.65818214416504,780,0.3339829742908478,0.9428182244300842,38887,0.0003,49,71.32880721000001,38988,312.69,0.14644652605056763,108
-33.350341796875,806,6.866713523864746,0.7371606826782227,40127,0.0003,49,73.32654756,40228,291.15,0.18103091418743134,112
-35.865562438964844,822,0.8559491634368896,0.3583119213581085,40881,0.0003,49,78.77302048,40982,258.73,0.2016633152961731,116
-34.87853240966797,832,5.904265403747559,0.6500028967857361,41406,0.0003,49,82.12458843999998,41507,228.29,0.2128298580646515,120
-32.0074577331543,839,1.048702359199524,-0.22311931848526,41733,0.0003,49,85.71618175000002,41834,197.53,0.2179526835680008,124
-37.39567184448242,845,1.0709359645843506,0.4974052309989929,42052,0.0003,49,88.43374696999999,42153,169.25,0.22199678421020508,128
-41.80817413330078,856,1.0616552829742432,0.5950815677642822,42560,0.0003,49,88.84757869,42661,160.85,0.2229105532169342,132
-38.86386489868164,866,1.010090708732605,0.10403220355510712,43047,0.0003,49,88.92340337,43148,157.29,0.22509819269180298,136
-40.12969207763672,873,1.1018699407577515,-0.5368560552597046,43347,0.0003,49,90.90853351000004,43448,141.3,0.22141513228416443,140
-39.79790496826172,886,0.697418212890625,0.1425919532775879,44012,0.0003,49,90.92433246000002,44113,141.08,0.19866150617599487,144
-47.35700988769531,898,0.4830758571624756,-0.514351487159729,44589,0.0003,49,90.95662091,44690,140.94,0.1814136505126953,148
-41.01488494873047,905,0.7043362855911255,0.16387394070625305,44948,0.0003,49,91.06154336,45049,138.77,0.17054077982902527,152
-43.3109130859375,914,0.5591173768043518,-0.6784493327140808,45390,0.0003,49,91.24545920999999,45491,137.75,0.15384215116500854,156
-44.12105941772461,928,0.4446081221103668,-0.15848314762115479,46037,0.0003,49,91.08502369,46138,137.93,0.12360731512308121,160
-39.130340576171875,936,0.27139055728912354,-0.8515772819519043,46435,0.0003,49,91.14516772,46536,136.36,0.11068275570869446,164
-41.1805419921875,944,0.5800014734268188,-0.7102833986282349,46825,0.0003,49,91.22783421,46926,134.03,0.09753839671611786,168
-45.21430206298828,951,0.30464816093444824,-0.6491935849189758,47134,0.0003,49,91.32529250999998,47235,131.74,0.08835895359516144,172
-40.00394821166992,959,0.5351059436798096,-0.9382554292678833,47543,0.0003,49,91.31325472,47644,131.16,0.07820724695920944,176
-38.94431686401367,969,0.3094407320022583,-0.23434579372406006,48031,0.0003,49,91.37504408999999,48132,130.97,0.070049948990345,180
-43.46177291870117,981,0.3911832571029663,-0.07247056066989899,48570,0.0003,49,91.46938935,48671,126.52,0.06389569491147995,184
-40.38294219970703,998,2.0167040824890137,0.6981730461120605,49404,0.0003,49,91.30192531999997,49505,129.82,0.061288509517908096,188
-43.679927825927734,1010,0.4581849277019501,0.34759604930877686,49986,0.0003,49,91.25078918999999,50087,130.3,0.06863360852003098,192
-45.87256622314453,1020,0.5920047760009766,0.8770930171012878,50454,0.0003,49,91.23994368,50555,131.16,0.07661798596382141,196
-41.96856689453125,1029,0.48050665855407715,0.4996863603591919,50913,0.0003,49,91.28548351,51014,130.66,0.08386126160621643,200
-46.67484664916992,1040,0.32238155603408813,0.6986818909645081,51392,0.0003,49,91.27166086,51493,129.9,0.08883579075336456,204
-42.96541213989258,1050,0.32976338267326355,0.37581202387809753,51838,0.0003,49,91.26163544,51939,129.51,0.09283202141523361,208
-45.55046463012695,1059,0.3568202555179596,-0.2443140149116516,52272,0.0003,49,92.74780773,52373,121.45,0.09850406646728516,212
-40.53815460205078,1068,0.7795156240463257,-0.5183266997337341,52714,0.0003,49,92.90229488000001,52815,118.33,0.0983530730009079,216
