train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,time/episodes,time/time_elapsed
699,800,24.001827239990234,-0.29216936230659485,59,0.32949525117874146,200.0,0.8132362961769104,-1520.5812125,0.0003,4,13
1499,1600,48.31502151489258,-0.5832847356796265,54,0.2134404331445694,200.0,0.645285427570343,-1512.1695338749998,0.0003,8,29
2299,2400,65.50657653808594,-0.5499168038368225,52,0.3658807873725891,200.0,0.5221779346466064,-1393.0747306666665,0.0003,12,46
3099,3200,80.99132537841797,-0.7188553214073181,51,0.8188483715057373,200.0,0.43961581587791443,-1258.9053398125,0.0003,16,62
3899,4000,88.13923645019531,-0.38457590341567993,50,0.9908318519592285,200.0,0.3807213604450226,-1115.58463475,0.0003,20,78
4699,4800,99.05709838867188,-0.3658461272716522,50,1.125030517578125,200.0,0.33450740575790405,-961.1881670416666,0.0003,24,94
5499,5600,85.89545440673828,-0.49153760075569153,50,0.7801358699798584,200.0,0.2880411148071289,-846.3791740714286,0.0003,28,110
6299,6400,81.25675201416016,-0.3529320955276489,50,2.097334623336792,200.0,0.245829239487648,-763.85689540625,0.0003,32,126
7099,7200,90.34544372558594,-0.7022691369056702,50,1.180891752243042,200.0,0.21289536356925964,-696.5050323055556,0.0003,36,142
7899,8000,95.65457153320312,-0.16857710480690002,50,4.690906524658203,200.0,0.18980230391025543,-645.0439027250001,0.0003,40,158
8699,8800,70.25428771972656,-0.9569717645645142,50,1.3779045343399048,200.0,0.16670066118240356,-594.6044541136363,0.0003,44,175
9499,9600,72.35968017578125,-0.1783009022474289,50,1.8983744382858276,200.0,0.14786136150360107,-559.9264909791667,0.0003,48,191
10299,10400,59.12741470336914,-0.6868789196014404,49,2.2943246364593506,200.0,0.13513851165771484,-534.2675902692308,0.0003,52,208
11099,11200,64.94657897949219,0.0016238987445831299,49,1.3879475593566895,200.0,0.12600141763687134,-507.0005874107142,0.0003,56,224
11899,12000,63.708641052246094,-0.6425758600234985,49,2.149843215942383,200.0,0.11524449288845062,-484.0136745333333,0.0003,60,240
12699,12800,66.4572982788086,0.16402846574783325,49,2.3217709064483643,200.0,0.10262298583984375,-463.103545109375,0.0003,64,256
13499,13600,53.74162292480469,0.15918219089508057,49,1.4749305248260498,200.0,0.09318387508392334,-446.9199337058823,0.0003,68,274
14299,14400,55.54612731933594,-0.5445531010627747,49,1.120445966720581,200.0,0.08522424101829529,-428.8332804305556,0.0003,72,290
15099,15200,51.6608772277832,-0.3641088008880615,49,2.380253314971924,200.0,0.08118630200624466,-409.40662011842113,0.0003,76,306
15899,16000,51.962310791015625,0.7537893056869507,49,1.2083039283752441,200.0,0.0736168771982193,-390.514573925,0.0003,80,322
16699,16800,42.03709411621094,-0.012162163853645325,49,1.9171442985534668,200.0,0.06731045991182327,-378.99750686904764,0.0003,84,338
17499,17600,58.765098571777344,0.6599574685096741,49,1.133033275604248,200.0,0.06248052790760994,-367.22811602272725,0.0003,88,354
18299,18400,52.23719787597656,0.4493677020072937,49,2.031515121459961,200.0,0.058861758559942245,-356.38657393478263,0.0003,92,370
19099,19200,34.77542495727539,-0.4296451807022095,49,2.752167224884033,200.0,0.05652247369289398,-345.13385771875,0.0003,96,386
19899,20000,36.15778732299805,-0.5948123335838318,49,0.48835289478302,200.0,0.05459101125597954,-335.96678633999994,0.0003,100,403
20699,20800,33.13416290283203,-0.3467048704624176,49,0.9251905083656311,200.0,0.050856463611125946,-282.14872636,0.0003,104,423
21499,21600,42.00004959106445,0.21141090989112854,48,1.2699182033538818,200.0,0.046562496572732925,-225.74932950000002,0.0003,108,442
22299,22400,36.24951171875,-0.6896292567253113,48,0.9117377400398254,200.0,0.04352983087301254,-184.8059405,0.0003,112,459
23099,23200,38.9561882019043,-1.1535183191299438,48,0.9507362842559814,200.0,0.04030559957027435,-156.56763852,0.0003,116,476
23899,24000,32.82435607910156,-0.38457614183425903,48,1.3374550342559814,200.0,0.03700000047683716,-140.77367053999998,0.0003,120,492
24699,24800,29.134658813476562,-1.3296736478805542,48,0.6978175640106201,200.0,0.0341353639960289,-140.38963032,0.0003,124,508
25499,25600,45.754966735839844,1.2554028034210205,48,3.444051504135132,200.0,0.03218013048171997,-143.96904388000002,0.0003,128,525
26299,26400,28.409032821655273,-1.3905706405639648,48,1.2987971305847168,200.0,0.030263101682066917,-140.34143669000002,0.0003,132,541
27099,27200,29.403358459472656,-0.5353409647941589,48,0.7299599647521973,200.0,0.030063021928071976,-141.99265804,0.0003,136,556
27899,28000,28.878929138183594,0.3642241060733795,48,0.4270845651626587,200.0,0.03104030154645443,-141.70424571,0.0003,140,573
28699,28800,39.79129409790039,0.8638477325439453,48,0.8065434098243713,200.0,0.031193887814879417,-145.26138042,0.0003,144,589
29499,29600,42.082435607910156,-0.1633533090353012,48,1.3233203887939453,200.0,0.034027811139822006,-145.33242928,0.0003,148,605
