train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,time/episodes,time/time_elapsed
699,800,26.750978469848633,-0.31791841983795166,66,0.24938350915908813,200.0,0.8128783702850342,-1657.1594034999998,0.0003,4,11
1499,1600,54.535587310791016,-0.6448822021484375,59,0.20894014835357666,200.0,0.6436173915863037,-1617.21638175,0.0003,8,26
2299,2400,82.03172302246094,-0.643356204032898,57,0.21088583767414093,200.0,0.5240687727928162,-1514.4727693333334,0.0003,12,41
3099,3200,95.17327880859375,-0.5571607947349548,56,1.219648003578186,200.0,0.44103220105171204,-1383.1857439374999,0.0003,16,56
3899,4000,112.57855224609375,-0.7334722280502319,56,0.7417580485343933,200.0,0.3755282461643219,-1286.6212351499998,0.0003,20,71
4699,4800,119.9461669921875,-0.46618762612342834,55,1.61888587474823,200.0,0.3221592605113983,-1216.9672981666665,0.0003,24,86
5499,5600,127.0979995727539,-0.11986614763736725,54,2.2535300254821777,200.0,0.28159797191619873,-1069.695626857143,0.0003,28,101
6299,6400,121.25420379638672,-0.30747297406196594,54,3.2047271728515625,200.0,0.2450065016746521,-947.4775281249999,0.0003,32,116
7099,7200,127.51100158691406,-0.5276910662651062,54,1.372267246246338,200.0,0.21690118312835693,-919.876092111111,0.0003,36,131
7899,8000,135.32675170898438,-0.10436195135116577,54,5.1036882400512695,200.0,0.1975756138563156,-846.035101025,0.0003,40,146
8699,8800,126.585693359375,-0.9509731531143188,54,3.08015513420105,200.0,0.17588406801223755,-774.6289807727272,0.0003,44,161
9499,9600,104.4068603515625,0.058939993381500244,54,12.49477481842041,200.0,0.16156363487243652,-717.6203105000001,0.0003,48,176
10299,10400,107.78167724609375,-0.4099159836769104,54,5.49724006652832,200.0,0.15927016735076904,-678.2686990000002,0.0003,52,191
11099,11200,104.87289428710938,0.04784850403666496,54,4.290370941162109,200.0,0.1572621464729309,-636.5505541071428,0.0003,56,206
11899,12000,116.4192886352539,-0.18364176154136658,54,6.144437789916992,200.0,0.14784950017929077,-606.2941828,0.0003,60,221
12699,12800,70.12107849121094,-0.9608252644538879,54,5.613922119140625,200.0,0.14155609905719757,-582.344083203125,0.0003,64,235
13499,13600,74.42845916748047,-0.5991909503936768,54,4.583894729614258,200.0,0.13342344760894775,-557.0093283088236,0.0003,68,250
14299,14400,79.65701293945312,-0.18952903151512146,54,2.2851614952087402,200.0,0.1278490126132965,-531.1734720972222,0.0003,72,265
15099,15200,81.08568572998047,0.14596371352672577,54,2.995021343231201,200.0,0.1216026172041893,-515.4496041052631,0.0003,76,280
15899,16000,71.14097595214844,-0.3281550407409668,54,1.2833459377288818,200.0,0.11644279956817627,-495.7237037875,0.0003,80,294
16699,16800,85.12936401367188,0.015836656093597412,54,1.494346261024475,200.0,0.11266139894723892,-478.6531818571429,0.0003,84,309
17499,17600,71.39895629882812,-0.3757026791572571,54,2.7730069160461426,200.0,0.10502711683511734,-462.38576778409094,0.0003,88,324
18299,18400,70.8148193359375,0.5256260633468628,54,4.82923698425293,200.0,0.1007254496216774,-448.840544,0.0003,92,339
19099,19200,69.68179321289062,0.16899052262306213,54,2.0181217193603516,200.0,0.09821798652410507,-433.87854306250006,0.0003,96,354
19899,20000,60.577857971191406,-0.4095301032066345,54,2.119649648666382,200.0,0.09685955941677094,-422.6775676600001,0.0003,100,368
20699,20800,52.91946029663086,-0.5831766128540039,54,3.648144483566284,200.0,0.0900178924202919,-362.24583631999997,0.0003,104,383
21499,21600,65.69845581054688,0.39839112758636475,54,2.548588752746582,200.0,0.07768277823925018,-304.06872684999996,0.0003,108,398
22299,22400,67.4455337524414,-0.032912611961364746,54,1.967811942100525,200.0,0.0722322016954422,-256.54176981999996,0.0003,112,413
23099,23200,59.5960578918457,0.18436358869075775,54,1.2557389736175537,200.0,0.06738827377557755,-221.87069119,0.0003,116,428
23899,24000,46.49517822265625,0.0439392551779747,54,1.4252650737762451,200.0,0.06288035959005356,-191.62253043,0.0003,120,443
24699,24800,47.649131774902344,-0.41152477264404297,54,3.067871332168579,200.0,0.0571332611143589,-162.90978404999998,0.0003,124,458
25499,25600,47.152862548828125,-1.0827628374099731,54,1.3276923894882202,200.0,0.05130312591791153,-161.39956127999997,0.0003,128,472
26299,26400,39.17477798461914,-0.6782388687133789,54,1.2308874130249023,200.0,0.04688799008727074,-162.59716459,0.0003,132,487
27099,27200,42.741432189941406,-0.5106246471405029,54,1.885595679283142,200.0,0.04269057512283325,-140.79042159,0.0003,136,502
27899,28000,44.918182373046875,0.16562771797180176,54,1.8126071691513062,200.0,0.038822270929813385,-140.88331756000002,0.0003,140,516
28699,28800,36.00428009033203,-0.8541268706321716,54,1.4913811683654785,200.0,0.03483891114592552,-142.04603970999997,0.0003,144,531
29499,29600,40.84484100341797,0.5202594995498657,54,5.114823341369629,200.0,0.030761148780584335,-143.30058085999997,0.0003,148,546
