train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,time/episodes,time/time_elapsed
699,800,24.03201675415039,-0.3241637647151947,59,0.3471183776855469,200.0,0.8130648136138916,-1570.2753192500002,0.0003,4,13
1499,1600,49.89894104003906,-0.6157002449035645,54,0.29153743386268616,200.0,0.6462951898574829,-1498.007235875,0.0003,8,29
2299,2400,72.59681701660156,-0.6557531356811523,52,0.17157432436943054,200.0,0.5256686210632324,-1393.93098575,0.0003,12,45
3099,3200,83.70864868164062,-0.3910027742385864,51,0.339046835899353,200.0,0.44450804591178894,-1221.8433184375,0.0003,16,61
3899,4000,92.63368225097656,-0.47544822096824646,51,1.1369483470916748,200.0,0.3851955533027649,-1161.4538902500003,0.0003,20,77
4699,4800,95.41326141357422,-0.1601136177778244,51,2.0682907104492188,200.0,0.33534133434295654,-999.8221285,0.0003,24,93
5499,5600,100.02940368652344,-0.08224809169769287,50,2.382838249206543,200.0,0.2859266400337219,-876.1755575357141,0.0003,28,109
6299,6400,96.95228576660156,-0.4850642681121826,51,1.4912478923797607,200.0,0.24692949652671814,-786.26815971875,0.0003,32,124
7099,7200,87.08637237548828,-0.5543228983879089,51,2.520949363708496,200.0,0.21471577882766724,-716.5801127222222,0.0003,36,139
7899,8000,73.10773468017578,-0.4429662227630615,51,1.7118099927902222,200.0,0.18938761949539185,-663.213355925,0.0003,40,154
8699,8800,80.5738525390625,-0.6460183262825012,51,6.5032196044921875,200.0,0.16566310822963715,-611.27751175,0.0003,44,169
9499,9600,75.73570251464844,-0.08300171792507172,52,4.33294153213501,200.0,0.14339493215084076,-575.3911268749999,0.0003,48,184
10299,10400,72.64488220214844,-0.17799881100654602,52,1.889638900756836,200.0,0.12732261419296265,-548.5613673461538,0.0003,52,198
11099,11200,73.31503295898438,0.2705261707305908,52,1.783204436302185,200.0,0.11547037959098816,-520.163678875,0.0003,56,213
11899,12000,59.24421691894531,-0.19587555527687073,52,1.3124258518218994,200.0,0.10622785985469818,-496.3193299,0.0003,60,227
12699,12800,57.96102523803711,-0.8479414582252502,52,2.01131534576416,200.0,0.09997906535863876,-474.666534984375,0.0003,64,241
13499,13600,63.70076370239258,0.4362488389015198,53,2.563481330871582,200.0,0.09356611222028732,-459.36408710294126,0.0003,68,256
14299,14400,55.978572845458984,-0.5006430149078369,53,1.4337571859359741,200.0,0.08633513003587723,-440.57117537499994,0.0003,72,270
15099,15200,59.273292541503906,-0.2610361576080322,53,3.360687494277954,200.0,0.07804451882839203,-420.5461130394737,0.0003,76,284
15899,16000,51.957618713378906,0.22638127207756042,53,2.20058012008667,200.0,0.07078813016414642,-401.105720975,0.0003,80,298
16699,16800,55.257179260253906,0.6556868553161621,53,2.1949374675750732,200.0,0.0665924921631813,-389.08282098809525,0.0003,84,313
17499,17600,42.55919647216797,-0.8203542828559875,53,0.5939923524856567,200.0,0.064883291721344,-376.8763658409091,0.0003,88,327
18299,18400,34.19467544555664,-0.08316732943058014,53,1.8605756759643555,200.0,0.057584505528211594,-365.6142323804348,0.0003,92,342
19099,19200,41.939918518066406,-0.08955861628055573,53,1.4049516916275024,200.0,0.05552913621068001,-354.0008273645833,0.0003,96,357
19899,20000,59.69442367553711,0.4053688645362854,53,2.0160627365112305,200.0,0.04936280846595764,-345.70060028999995,0.0003,100,371
20699,20800,23.800125122070312,-0.10708007216453552,53,1.4024091958999634,200.0,0.0450102798640728,-289.85614350000003,0.0003,104,386
21499,21600,40.0705680847168,-0.5171775221824646,53,1.1179893016815186,200.0,0.04183144122362137,-236.58144027999998,0.0003,108,401
22299,22400,36.471771240234375,-0.0963672399520874,53,1.2562496662139893,200.0,0.03846562281250954,-194.39242190999997,0.0003,112,415
23099,23200,28.561359405517578,0.22745491564273834,53,1.259369134902954,200.0,0.034667082130908966,-172.2003644,0.0003,116,430
23899,24000,33.299766540527344,-0.39391398429870605,54,0.8801376223564148,200.0,0.034521233290433884,-141.34219664,0.0003,120,444
24699,24800,29.529525756835938,0.0019440427422523499,54,1.1100795269012451,200.0,0.0354081355035305,-140.87559657,0.0003,124,458
25499,25600,34.77976608276367,-1.4146426916122437,54,1.3345024585723877,200.0,0.035556577146053314,-145.36991978000003,0.0003,128,473
26299,26400,29.95685386657715,-0.5002763867378235,54,1.8489840030670166,200.0,0.03451787680387497,-142.90328235999996,0.0003,132,487
27099,27200,24.09001922607422,-1.1426730155944824,54,1.0311051607131958,200.0,0.034349095076322556,-144.21335610000003,0.0003,136,501
27899,28000,29.47330665588379,0.7782496213912964,54,1.2472188472747803,200.0,0.03601141646504402,-143.90206457,0.0003,140,515
28699,28800,36.219581604003906,0.7603548765182495,54,1.585187554359436,200.0,0.03758427873253822,-147.38778304,0.0003,144,530
29499,29600,19.42534828186035,0.01675364375114441,54,1.2777369022369385,200.0,0.038836538791656494,-148.1406193,0.0003,148,544
