train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,time/episodes,time/time_elapsed
699,800,23.007535934448242,-0.3315540850162506,67,0.3596864938735962,200.0,0.8141781687736511,-1387.3479857500001,0.0003,4,11
1499,1600,47.819252014160156,-0.5719067454338074,61,0.24232429265975952,200.0,0.6473709344863892,-1460.20735975,0.0003,8,26
2299,2400,67.7996826171875,-0.5790183544158936,59,0.34164857864379883,200.0,0.5283540487289429,-1365.2156798333333,0.0003,12,40
3099,3200,86.28111267089844,-0.5055667757987976,57,0.608512818813324,200.0,0.44573795795440674,-1188.2802041875002,0.0003,16,55
3899,4000,85.01249694824219,-0.601024329662323,57,1.0351028442382812,200.0,0.3814774751663208,-1076.4739304,0.0003,20,69
4699,4800,80.76126861572266,-0.5290720462799072,56,2.476713180541992,200.0,0.32500314712524414,-943.1406937083334,0.0003,24,84
5499,5600,76.60359954833984,-0.2920478582382202,56,1.9069113731384277,200.0,0.27347421646118164,-834.603131,0.0003,28,98
6299,6400,73.25337219238281,-1.0390915870666504,56,1.7877120971679688,200.0,0.23266085982322693,-753.0541070625001,0.0003,32,113
7099,7200,77.79993438720703,-0.5476251840591431,56,0.7258774042129517,200.0,0.20117247104644775,-683.1026781944445,0.0003,36,128
7899,8000,86.25819396972656,-0.44012022018432617,55,1.51642644405365,200.0,0.1728990375995636,-630.044578525,0.0003,40,142
8699,8800,77.22639465332031,-0.08188091218471527,55,5.3923139572143555,200.0,0.14826005697250366,-575.7716348181818,0.0003,44,157
9499,9600,47.097721099853516,-0.7031537890434265,55,2.2455203533172607,200.0,0.1311800181865692,-537.985101625,0.0003,48,172
10299,10400,44.900447845458984,-0.30008935928344727,55,3.272430896759033,200.0,0.11574559658765793,-511.6489049038462,0.0003,52,187
11099,11200,62.91642379760742,-0.43484774231910706,55,2.9307427406311035,200.0,0.1042669266462326,-485.8637875714286,0.0003,56,201
11899,12000,62.029876708984375,-0.17853981256484985,55,2.177919387817383,200.0,0.09467624127864838,-461.7118606833334,0.0003,60,215
12699,12800,58.20343017578125,-0.39924168586730957,55,3.5023021697998047,200.0,0.08695963025093079,-441.915915453125,0.0003,64,230
13499,13600,67.07854461669922,-0.0847170501947403,55,3.5174524784088135,200.0,0.08300314098596573,-423.6644038088235,0.0003,68,245
14299,14400,48.13496398925781,-0.29940265417099,55,1.7632167339324951,200.0,0.07892347127199173,-406.77958318055556,0.0003,72,259
15099,15200,58.25474548339844,0.38688236474990845,55,2.332831621170044,200.0,0.07401427626609802,-396.07935442105264,0.0003,76,273
15899,16000,56.04886245727539,0.6098880767822266,55,1.352243185043335,200.0,0.06803099811077118,-385.2368870125,0.0003,80,288
16699,16800,46.193077087402344,-0.3639238476753235,55,1.0039465427398682,200.0,0.06150098890066147,-371.2602713333334,0.0003,84,303
17499,17600,34.79786682128906,-1.507852554321289,55,0.6404582262039185,200.0,0.05491218715906143,-358.58695565909096,0.0003,88,318
18299,18400,40.82500457763672,1.190713882446289,55,1.7193405628204346,200.0,0.05003165826201439,-349.61492323913046,0.0003,92,332
19099,19200,34.48688507080078,0.09428700804710388,55,1.9008972644805908,200.0,0.04488692060112953,-341.0782691875,0.0003,96,347
19899,20000,36.52303695678711,-0.48327338695526123,55,0.5199961066246033,200.0,0.04081108421087265,-333.32551305,0.0003,100,362
20699,20800,32.17035675048828,-0.7578729391098022,55,0.7665590047836304,200.0,0.03649855777621269,-286.19259063999993,0.0003,104,376
21499,21600,37.591712951660156,-0.3394755721092224,55,2.4470081329345703,200.0,0.03291577845811844,-234.08456808000003,0.0003,108,391
22299,22400,36.689048767089844,-0.44691208004951477,55,0.5818406343460083,200.0,0.030131729319691658,-194.15289761,0.0003,112,405
23099,23200,31.875629425048828,-1.0226906538009644,55,0.699699878692627,200.0,0.028611022979021072,-171.48513943999998,0.0003,116,420
23899,24000,41.09918975830078,2.231067657470703,55,2.2964086532592773,200.0,0.027069417759776115,-154.11168499000001,0.0003,120,434
24699,24800,31.755353927612305,-0.44636058807373047,55,0.9084942936897278,200.0,0.025032145902514458,-147.69193392,0.0003,124,449
25499,25600,36.32865524291992,1.5504002571105957,55,3.184901475906372,200.0,0.024675237014889717,-145.19573153,0.0003,128,463
26299,26400,38.072486877441406,0.9160575270652771,55,1.4564101696014404,200.0,0.022456755861639977,-141.53309703000002,0.0003,132,478
27099,27200,42.364017486572266,0.4204552173614502,55,1.3949854373931885,200.0,0.020964667201042175,-143.73066888999998,0.0003,136,493
27899,28000,24.539386749267578,-2.490694046020508,55,0.35706430673599243,200.0,0.02027505822479725,-144.8238091,0.0003,140,507
28699,28800,44.2166862487793,2.245138645172119,55,1.7387852668762207,200.0,0.0194257665425539,-148.28294643,0.0003,144,522
29499,29600,25.232635498046875,0.08407042920589447,55,2.029963970184326,200.0,0.01837874762713909,-150.66439898,0.0003,148,536
