train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,time/episodes,time/time_elapsed
699,800,23.24407196044922,-0.3343077600002289,51,0.3136281967163086,200.0,0.8133416771888733,-1385.51816975,0.0003,4,15
1499,1600,48.148643493652344,-0.6239234805107117,47,0.31338173151016235,200.0,0.6472979187965393,-1406.700952375,0.0003,8,33
2299,2400,66.75885009765625,-0.7259164452552795,45,0.2919573187828064,200.0,0.5309773087501526,-1291.55546125,0.0003,12,52
3099,3200,83.21871185302734,-0.5055055618286133,45,0.6636562943458557,200.0,0.451212614774704,-1199.2833364374999,0.0003,16,70
3899,4000,89.60814666748047,-0.49956297874450684,45,0.9202808141708374,200.0,0.3896689713001251,-1038.2409007499998,0.0003,20,88
4699,4800,87.10798645019531,-0.3325703740119934,45,1.7685178518295288,200.0,0.3350125849246979,-890.0139038333332,0.0003,24,106
5499,5600,93.53038024902344,-0.16391891241073608,45,4.730011940002441,200.0,0.28106844425201416,-780.4318385714284,0.0003,28,123
6299,6400,89.3134536743164,-0.5118980407714844,45,3.031090259552002,200.0,0.24030505120754242,-694.1390077812499,0.0003,32,141
7099,7200,93.58535766601562,0.06994365155696869,45,4.6995134353637695,200.0,0.20872047543525696,-630.7007667777777,0.0003,36,158
7899,8000,84.37506103515625,0.07321251183748245,45,2.8991105556488037,200.0,0.18367663025856018,-582.2288323,0.0003,40,176
8699,8800,77.78610229492188,-0.2648063898086548,45,1.8923089504241943,200.0,0.16017469763755798,-534.8242008636363,0.0003,44,193
9499,9600,65.45672607421875,-1.0542287826538086,45,2.2993621826171875,200.0,0.1400710940361023,-497.79976925,0.0003,48,210
10299,10400,63.662841796875,-0.1265617460012436,45,2.8153820037841797,200.0,0.12691126763820648,-474.8402725576923,0.0003,52,228
11099,11200,58.125274658203125,-0.6087638139724731,45,1.8755004405975342,200.0,0.11487506330013275,-447.5092938214285,0.0003,56,245
11899,12000,67.54903411865234,0.515081524848938,45,1.6478077173233032,200.0,0.10695414245128632,-429.8410670333333,0.0003,60,263
12699,12800,36.854652404785156,-1.2604868412017822,45,1.654341459274292,200.0,0.10169265419244766,-417.43006090625,0.0003,64,281
13499,13600,42.12947463989258,-0.38501161336898804,45,1.1877142190933228,200.0,0.09410492330789566,-402.15899019117643,0.0003,68,298
14299,14400,45.60420227050781,-0.5189768671989441,45,0.9384271502494812,200.0,0.08577129244804382,-384.8880345416667,0.0003,72,315
15099,15200,48.802303314208984,0.4107513725757599,45,0.9592529535293579,200.0,0.07862575352191925,-375.32347236842105,0.0003,76,332
15899,16000,44.54069519042969,-0.6742593050003052,45,1.982287883758545,200.0,0.0732782781124115,-362.5830173,0.0003,80,350
16699,16800,53.32521057128906,-0.2808528542518616,45,1.45396089553833,200.0,0.06706716865301132,-351.8882178571428,0.0003,84,367
17499,17600,42.60980987548828,-0.2403903752565384,45,0.8210148811340332,200.0,0.059999410063028336,-340.0128865454545,0.0003,88,385
18299,18400,38.999507904052734,-1.274908185005188,45,1.0129773616790771,200.0,0.05409001559019089,-331.75229176086947,0.0003,92,402
19099,19200,40.56046676635742,-0.3626721501350403,45,8.054000854492188,200.0,0.049497343599796295,-321.6299149270833,0.0003,96,420
19899,20000,33.186302185058594,0.2083444446325302,45,1.3010534048080444,200.0,0.045950211584568024,-314.85303759999994,0.0003,100,437
20699,20800,33.46392059326172,-0.884053111076355,45,1.0766308307647705,200.0,0.04355921223759651,-265.29100444,0.0003,104,455
21499,21600,34.810508728027344,0.4289465546607971,45,1.4263908863067627,200.0,0.0403977669775486,-213.01967875,0.0003,108,472
22299,22400,44.09160232543945,0.13869142532348633,45,0.9524217844009399,200.0,0.03773518651723862,-175.35446498,0.0003,112,489
23099,23200,38.83945846557617,-0.07898536324501038,45,1.1012511253356934,200.0,0.035198863595724106,-143.39071446,0.0003,116,506
23899,24000,33.492523193359375,0.021622024476528168,45,0.7083535194396973,200.0,0.03478067368268967,-133.4736691,0.0003,120,524
24699,24800,29.323558807373047,1.0765495300292969,45,2.0513103008270264,200.0,0.03437698259949684,-133.55933176,0.0003,124,542
25499,25600,34.96196365356445,-0.5967679023742676,45,0.8373584747314453,200.0,0.03389839828014374,-134.52509449000001,0.0003,128,560
26299,26400,18.758615493774414,0.2492493838071823,45,1.9954452514648438,200.0,0.03239230439066887,-135.68679358,0.0003,132,579
27099,27200,30.10348129272461,-1.6120097637176514,45,0.944477915763855,200.0,0.030436750501394272,-136.80530465,0.0003,136,597
27899,28000,31.87126922607422,0.05420921742916107,45,2.115206480026245,200.0,0.02872588112950325,-138.27747499,0.0003,140,614
28699,28800,24.58998680114746,0.5378619432449341,45,6.497920989990234,200.0,0.02738187089562416,-139.38738961999996,0.0003,144,631
29499,29600,24.33184242248535,0.3010532855987549,45,0.8393704891204834,200.0,0.025615718215703964,-140.57163074,0.0003,148,649
