rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,time/episodes,time/fps,time/total_timesteps
976.25,-18.7317545,78,3804,0.3223230242729187,-1.860482931137085,0.0003,-6.699060440063477,0.02290722355246544,4,49,3905
987.625,-36.902349375,162,7800,0.0983523279428482,-3.7401418685913086,0.0003,-6.935751438140869,0.31245747208595276,8,48,7901
982.5,-20.13798591666667,243,11689,0.03210259974002838,-4.123983860015869,0.0003,-4.628457069396973,0.03622063994407654,12,48,11790
883.125,4.757802625,292,14029,0.01867496408522129,-2.680345296859741,0.0003,-5.182515621185303,0.595301628112793,16,48,14130
739.4,22.342016,306,14687,0.016282718628644943,-2.10886812210083,0.0003,-6.259171962738037,0.3496548533439636,20,48,14788
639.3333333333334,34.22409316666667,319,15243,0.014554937370121479,-0.9084306955337524,0.0003,-9.353734016418457,2.4392528533935547,24,48,15344
565.8571428571429,42.75663432142858,330,15743,0.013709873892366886,0.23042690753936768,0.0003,-9.949962615966797,19.875286102294922,28,47,15844
509.46875,49.152914499999994,339,16202,0.015232538804411888,3.2846221923828125,0.0003,-12.025155067443848,0.8224912285804749,32,47,16303
467.1666666666667,54.02885930555555,350,16717,0.01805025339126587,1.9797368049621582,0.0003,-9.003375053405762,0.8509702682495117,36,47,16818
431.2,57.991715324999994,359,17147,0.021078672260046005,3.7240242958068848,0.0003,-11.767292022705078,0.9684765338897705,40,47,17248
403.65909090909093,61.22600547727273,370,17660,0.02551986835896969,5.731430530548096,0.0003,-8.934536933898926,0.5708280801773071,44,47,17761
379.2291666666667,63.815658104166666,380,18102,0.02978319674730301,5.042101860046387,0.0003,-17.18609046936035,0.664155125617981,48,47,18203
361.28846153846155,66.00655463461538,392,18686,0.034607384353876114,3.181180477142334,0.0003,-15.564369201660156,0.4868391752243042,52,47,18787
343.82142857142856,67.86889416071428,402,19153,0.03963806480169296,1.4845341444015503,0.0003,-17.587156295776367,0.7618363499641418,56,47,19254
329.1666666666667,69.4745716,413,19649,0.04314647242426872,0.36490124464035034,0.0003,-16.87480926513672,0.6917312741279602,60,47,19750
314.96875,70.89557340625001,421,20057,0.04673084244132042,0.9009665250778198,0.0003,-18.86419105529785,0.4984896183013916,64,47,20158
302.55882352941177,72.17454923529412,430,20473,0.05030752345919609,0.8747390508651733,0.0003,-21.241649627685547,0.4583921432495117,68,47,20574
292.55555555555554,73.28014622222221,441,20963,0.05288426950573921,1.2299100160598755,0.0003,-26.065067291259766,13.368932723999023,72,47,21064
283.4736842105263,74.26339072368421,452,21443,0.056527890264987946,2.0014710426330566,0.0003,-23.600383758544922,0.8289373517036438,76,47,21544
279.4125,75.12121146249999,469,22252,0.06263026595115662,0.712992787361145,0.0003,-26.95146942138672,0.9487252831459045,80,47,22353
273.4404761904762,75.94674035714286,482,22868,0.07090554386377335,0.8091074824333191,0.0003,-22.673215866088867,0.48513221740722656,84,47,22969
265.67045454545456,76.74344188636364,490,23278,0.07849708944559097,0.8211061954498291,0.0003,-27.93024444580078,4.467927932739258,88,47,23379
269.10869565217394,75.89622976086957,520,24657,0.10742316395044327,1.16750967502594,0.0003,-35.7321891784668,0.5167664289474487,92,47,24758
262.9791666666667,76.61528269791667,531,25145,0.11463120579719543,0.7320535778999329,0.0003,-31.242263793945312,0.679008960723877,96,47,25246
256.8,77.30298617,540,25579,0.12097738683223724,1.0067558288574219,0.0003,-34.3604621887207,0.8306460380554199,100,47,25680
229.61,81.47189017000001,566,26765,0.14038687944412231,0.4387756586074829,0.0003,-38.693931579589844,0.5101088285446167,104,47,26866
193.39,87.45307432999999,574,27139,0.14826984703540802,-0.33644741773605347,0.0003,-38.30529022216797,0.752444863319397,108,47,27240
166.89,89.12172967000002,599,28378,0.16624441742897034,-0.7217716574668884,0.0003,-33.6456413269043,0.4841541051864624,112,47,28479
146.98,89.71581882000001,607,28727,0.16723594069480896,0.21870927512645721,0.0003,-42.08108139038086,1.2028553485870361,116,47,28828
145.76,89.72789423000002,619,29263,0.1664227843284607,-0.4143763780593872,0.0003,-37.951698303222656,13.094294548034668,120,47,29364
152.39,88.22012276000001,645,30482,0.1571398377418518,0.047102831304073334,0.0003,-44.21009063720703,0.8285238146781921,124,47,30583
150.41,88.25606659,652,30784,0.15240883827209473,0.4125387370586395,0.0003,-42.78512191772461,1.702591061592102,128,47,30885
148.83,88.27523887000001,658,31085,0.14663168787956238,-0.5600859522819519,0.0003,-44.19761657714844,0.5244807600975037,132,47,31186
147.3,88.32544276,666,31447,0.14202533662319183,-0.6136062145233154,0.0003,-42.38600540161133,0.5202500224113464,136,47,31548
148.21,88.25872931000002,678,31968,0.1309078335762024,-0.42991799116134644,0.0003,-40.65796661376953,0.7588677406311035,140,47,32069
146.11,88.30542159999999,684,32271,0.12874823808670044,-0.07979628443717957,0.0003,-45.409706115722656,0.7785825133323669,144,47,32372
144.71,88.40501802,691,32573,0.12317277491092682,-0.3363361954689026,0.0003,-43.4505500793457,0.3760526180267334,148,47,32674
143.31,88.43833256999999,700,33017,0.1195618286728859,-0.615471363067627,0.0003,-50.227901458740234,0.4680665135383606,152,47,33118
142.35,88.49891407000001,708,33388,0.11763410270214081,-0.9497106671333313,0.0003,-47.5308837890625,0.3700456917285919,156,47,33489
141.65,88.56752156,717,33814,0.11064890027046204,0.209218829870224,0.0003,-50.65808868408203,0.5596654415130615,160,47,33915
142.01,88.62022802999999,726,34258,0.10671399533748627,-0.48193055391311646,0.0003,-43.95906066894531,0.7545806169509888,164,47,34359
141.62,88.69053242999999,735,34635,0.10669875890016556,0.4467464089393616,0.0003,-44.65470504760742,0.5156548023223877,168,47,34736
139.89,88.81811678,742,34952,0.10760782659053802,0.6783591508865356,0.0003,-49.641841888427734,0.40738630294799805,172,47,35053
138.35,88.90415525999997,749,35278,0.10669870674610138,-0.5339695811271667,0.0003,-44.91541290283203,0.438568651676178,176,47,35379
133.25,89.04209812,755,35577,0.10633813589811325,-0.35710108280181885,0.0003,-47.88470458984375,0.41733309626579285,180,47,35678
130.77,89.07937204,763,35945,0.10587796568870544,0.06266215443611145,0.0003,-45.23827362060547,0.4483199417591095,184,47,36046
129.8,89.10467588,769,36258,0.10515502840280533,-0.30426937341690063,0.0003,-46.973636627197266,0.2214937061071396,188,47,36359
119.08,90.60781836,776,36565,0.10364022850990295,0.01784197986125946,0.0003,-46.8242073059082,0.38018089532852173,192,47,36666
117.32,90.67798758999999,783,36877,0.10207703709602356,-0.035675518214702606,0.0003,-47.42795181274414,0.40717267990112305,196,47,36978
116.62,90.69435472999997,790,37241,0.09887439012527466,-0.06931020319461823,0.0003,-41.13631820678711,0.5133380889892578,200,47,37342
108.86,91.01023337999999,800,37651,0.0995030626654625,0.20319126546382904,0.0003,-49.70904541015625,0.3907017111778259,204,47,37752
109.17,90.98539974,808,38056,0.09824660420417786,-0.19071315228939056,0.0003,-45.94561767578125,0.3356151282787323,208,47,38157
100.52,92.54726308999996,816,38430,0.09607498347759247,-0.07993598282337189,0.0003,-51.931541442871094,0.21229848265647888,212,47,38531
99.89,92.56307096999998,822,38716,0.09810842573642731,0.14665940403938293,0.0003,-45.85877227783203,0.2684594392776489,216,47,38817
98.33,92.6413802,831,39096,0.09576044976711273,0.4069060981273651,0.0003,-52.94377517700195,0.22077064216136932,220,47,39197
89.19,94.18794367000001,837,39401,0.09586483985185623,-0.605710506439209,0.0003,-44.57763671875,0.30262425541877747,224,47,39502
89.67,94.18170223000001,844,39751,0.09600992500782013,-0.4051521122455597,0.0003,-52.15593338012695,0.5135601758956909,228,47,39852
93.53,94.04485500000001,860,40438,0.09969864040613174,-0.2839969992637634,0.0003,-47.487640380859375,0.8760216236114502,232,47,40539
96.95,93.91141308999998,876,41142,0.10055286437273026,0.1590939313173294,0.0003,-49.81293869018555,0.4364830255508423,236,47,41243
95.22,94.03752239999999,883,41490,0.09798257052898407,0.19428177177906036,0.0003,-48.47383117675781,0.20910269021987915,240,47,41591
102.11,93.63584731,904,42482,0.09103885293006897,-0.775361180305481,0.0003,-55.74946975708008,0.21813711524009705,244,47,42583
103.02,93.60476419000003,913,42875,0.0910896360874176,-0.37122583389282227,0.0003,-55.3066520690918,1.1112174987792969,248,47,42976
102.3,93.65160359,922,43247,0.08823879063129425,-0.807124137878418,0.0003,-54.90264129638672,0.2779228389263153,252,47,43348
102.29,93.67575625,930,43617,0.08860471844673157,-0.2653239965438843,0.0003,-51.84067153930664,0.26692935824394226,256,47,43718
100.9,93.70892156,936,43904,0.08655436336994171,-1.316746473312378,0.0003,-52.120513916015625,0.1537972092628479,260,47,44005
103.04,93.60061870000001,950,44562,0.08410358428955078,-0.78620445728302,0.0003,-50.502479553222656,0.14543777704238892,264,47,44663
102.17,93.60265399,956,44852,0.08430096507072449,0.4045591950416565,0.0003,-53.964508056640625,0.13332921266555786,268,46,44953
102.05,93.56275339999998,963,45157,0.08255021274089813,-0.23867301642894745,0.0003,-56.819950103759766,0.15571756660938263,272,46,45258
101.68,93.58924104999998,969,45446,0.08223342150449753,0.8592391014099121,0.0003,-59.03537368774414,0.18186895549297333,276,46,45547
101.88,93.57688,977,45765,0.08233274519443512,0.13967886567115784,0.0003,-52.765838623046875,0.17844191193580627,280,46,45866
101.22,93.63495622000003,983,46067,0.08131186664104462,0.46820971369743347,0.0003,-54.40663528442383,0.13160401582717896,284,46,46168
