train/n_updates,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/fps,train/critic_loss,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/learning_rate,time/episodes,time/time_elapsed
699,800,26.131351470947266,-0.328344464302063,67,0.14177602529525757,200.0,0.8126564025878906,-1590.7607625,0.0003,4,11
1499,1600,49.436161041259766,-0.5901259779930115,60,0.2903667092323303,200.0,0.6446261405944824,-1536.8200155,0.0003,8,26
2299,2400,75.06220245361328,-0.6805325150489807,57,0.4678575396537781,200.0,0.525141179561615,-1416.9058795,0.0003,12,41
3099,3200,84.65343475341797,-0.6346465945243835,57,1.019317626953125,200.0,0.4417506754398346,-1309.1978499375,0.0003,16,56
3899,4000,108.15322875976562,-0.6714094281196594,56,1.167707085609436,200.0,0.37450045347213745,-1222.5202511500001,0.0003,20,70
4699,4800,104.04116821289062,-0.26342540979385376,56,2.3090853691101074,200.0,0.32168343663215637,-1064.2154065416669,0.0003,24,85
5499,5600,110.671630859375,-0.33530569076538086,55,1.9434442520141602,200.0,0.2763734757900238,-934.7602732857143,0.0003,28,100
6299,6400,110.06634521484375,-0.4883676767349243,55,2.0300986766815186,200.0,0.23870021104812622,-829.688847125,0.0003,32,115
7099,7200,104.53462219238281,-0.4935746192932129,55,1.9569082260131836,200.0,0.21124330163002014,-751.5124484166668,0.0003,36,129
7899,8000,108.78945922851562,-0.5013098120689392,55,2.029855489730835,200.0,0.18996386229991913,-694.2470918500001,0.0003,40,144
8699,8800,97.11326599121094,-0.6593136191368103,55,4.116236686706543,200.0,0.17060714960098267,-636.7555339772726,0.0003,44,159
9499,9600,102.316650390625,-0.6433942317962646,55,1.6746898889541626,200.0,0.14811578392982483,-591.4172974375,0.0003,48,173
10299,10400,100.94927978515625,-0.25370699167251587,55,1.728659749031067,200.0,0.12875980138778687,-561.7657019038462,0.0003,52,188
11099,11200,89.55414581298828,-0.6867625713348389,55,3.5357284545898438,200.0,0.1151094138622284,-528.4137609642858,0.0003,56,202
11899,12000,98.28417205810547,-0.12498399615287781,55,4.6627702713012695,200.0,0.104472815990448,-505.1493107,0.0003,60,217
12699,12800,102.27354431152344,0.29598715901374817,55,9.78384017944336,200.0,0.09705471247434616,-487.5677893125,0.0003,64,232
13499,13600,84.16664123535156,0.09249328076839447,55,4.488439083099365,200.0,0.09001345187425613,-467.9379457941177,0.0003,68,247
14299,14400,74.47188568115234,-0.17382341623306274,55,3.520679235458374,200.0,0.08608521521091461,-447.11754616666667,0.0003,72,261
15099,15200,80.5035400390625,0.3049473762512207,54,2.161097526550293,200.0,0.0824972465634346,-434.3691277105263,0.0003,76,276
15899,16000,64.1113052368164,-1.0728739500045776,54,0.8926647901535034,200.0,0.07866799831390381,-420.3953296625001,0.0003,80,291
16699,16800,62.879093170166016,-0.0637248158454895,54,3.8732683658599854,200.0,0.0758243203163147,-406.9242328095239,0.0003,84,305
17499,17600,56.773494720458984,-1.5079110860824585,54,1.0181927680969238,200.0,0.07467581331729889,-392.54550671590914,0.0003,88,320
18299,18400,56.71692657470703,-0.3177340626716614,54,2.150799036026001,200.0,0.07360471040010452,-382.0297101739131,0.0003,92,335
19099,19200,58.000728607177734,0.4198995530605316,54,1.9205222129821777,200.0,0.07092496752738953,-369.84764101041674,0.0003,96,350
19899,20000,55.35563278198242,-0.2592102289199829,54,1.329017162322998,200.0,0.0674261599779129,-361.18548369,0.0003,100,364
20699,20800,35.902225494384766,-1.2907829284667969,54,1.2303516864776611,200.0,0.06606383621692657,-303.45034753,0.0003,104,379
21499,21600,62.582855224609375,0.9340775012969971,54,1.2298756837844849,200.0,0.0624045692384243,-249.01443247,0.0003,108,394
22299,22400,58.25463104248047,0.48539087176322937,54,1.0479705333709717,200.0,0.05961933359503746,-206.75978385,0.0003,112,408
23099,23200,41.087890625,-0.6677981019020081,54,1.264394998550415,200.0,0.05467136204242706,-172.31260658,0.0003,116,423
23899,24000,38.86710739135742,-1.1799558401107788,54,0.6908372640609741,200.0,0.05161063000559807,-143.13190019,0.0003,120,438
24699,24800,56.16602325439453,0.013729825615882874,54,0.9942229986190796,200.0,0.04803971201181412,-138.24331041000002,0.0003,124,452
25499,25600,40.507755279541016,-0.820199728012085,54,0.7493577003479004,200.0,0.044041212648153305,-137.87441355,0.0003,128,467
26299,26400,40.043357849121094,0.3506770133972168,54,0.8278487920761108,200.0,0.04088348522782326,-138.89963561000002,0.0003,132,481
27099,27200,41.89111328125,-0.07574450969696045,54,1.7336077690124512,200.0,0.040188878774642944,-140.03817400000003,0.0003,136,496
27899,28000,41.72859191894531,0.2803613841533661,54,3.035022735595703,200.0,0.0378020741045475,-140.32439603999998,0.0003,140,511
28699,28800,46.7225227355957,-1.420230507850647,54,0.5393932461738586,200.0,0.03572258725762367,-141.43028431,0.0003,144,526
29499,29600,42.49541473388672,-0.11243122071027756,54,1.1972103118896484,200.0,0.03298887610435486,-142.61501257,0.0003,148,541
